"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"CH",2006,5297.14305285992,7483934,590436050103.238,153529865011.535,112638198129.691,4.07362844994275,2.15025798459116,410229048201.315,635026854965.369,294778076714.078,1982943,4947.74054505935
"CH",2007,5263.04600981847,7551117,613559744788.948,159101840436.001,118195050134.324,3.9163758177818,2.37706132688891,426458238767.928,617356066365.111,316673429219.289,1998781,5305.18337302361
"CH",2008,5607.18984018265,7647675,630788401993.241,163666258338.238,122045627395.77,2.80798363168692,1.44992801006573,438851563661.421,588604899655.157,330559161670.473,2022351,5706.84088174164
"CH",2009,5489.45467032967,7743831,616296829272.353,152489013178.653,110311896559.687,-2.29737463071545,0.457543979622471,437664040123.327,630966685793.028,323387944621.605,2045843,5236.67684039541
"CH",2010,5782.01362023578,7824909,636285784211.754,157127757608.379,113871784842.806,3.24339733550173,0.312736574258764,452015364620.454,679957679932.293,339592856970.17,2065228,5562.8215893289
"CH",2011,5754.48327434639,7912398,647822333890.064,162159819002.154,117867957322.241,1.81310819203695,-0.0204529167059491,458522666352.08,664153280410.599,342397311839.406,2086420,5862.89717216537
"CH",2012,5377.0666059433,7996861,655461803595.119,161269108575.027,116222362823.954,1.17925383325108,0.0637202631572649,468571071003.844,680441206561.976,346530466674.756,2106933,5830.09621970123
"CH",2013,5359.85055371618,8089346,667208623354.645,164815293461.574,118766742995.186,1.79214405707484,-0.0868426404352363,476302569158.32,686106161649.276,350311553326.097,2129601,6040.84595726413
"CH",2014,5244.38246375157,8188649,682887233860.616,166104910806.519,119843467931.646,2.34988127508626,-0.653123803620176,489963288001.503,689050325171.105,361860361233.114,2153942,6227.93237540423
"CH",2015,7084.78330859687,8282396,694118186379.628,167984415632.042,118823719530.313,1.64462768699285,-1.2650568747671,499985216876.343,710791973092.921,367354817223.709,2176779,6418.91923467723
"CH",2016,7143.90516848816,8373338,708477337578.722,170672043316.445,122794802725.714,2.0686896670996,-0.583291591583972,511930787406.766,703768734171.592,374702580197.809,2198922,6508.76357198526
"CH",2017,6979.83721461187,8451840,718132463597.499,173915124867.984,125608692441.292,1.36279955711416,-0.367869216813958,517702530291.696,701727124528.069,382841412507.174,2217678,6684.00934897145
"CH",2018,6896.82648401826,8514329,738674253452.249,180413483341.717,130499733156.822,2.86044579461633,0.764289197175742,532314633586.199,702313715293.676,399105938388.81,2231010,6953.63020704607
"CH",2019,7238.04566210046,8575280,747109782866.389,184694198295.279,133908515742.196,1.14198232505277,-0.103895158007788,536887169927.984,713820292445.337,392506359442.231,2242521,7231.67061223568
"CH",2020,7106.20251141552,8638167,729361717205.744,180971178051.498,129329871590.905,-2.37556327967653,-0.741152989766164,523414723251.938,684287972799.303,386656557822.861,2253266,7093.29044713384
"CH",2021,7251.86746575342,8703405,760153301723.961,186983686707.703,136758228791.573,4.22171657654073,1.05986290559228,546727628589.244,NA,413257989425.076,2263233,7313.28370842995
