"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"CY",2010,1.60966117216117,1129686,21640191720.2454,3133308291.4014,1093475832.69737,2.28354499702917,1.88028235720469,15503332042.6838,21336180977.4267,12832219032.6824,366572,-57.9372366313437
"CY",2011,1.51820054945055,1145086,21730369161.045,2769614711.43091,999716860.194991,0.416712762832276,1.61624900011381,16077346263.3027,22299333521.2205,13398455842.8017,373229,32.8852635400744
"CY",2012,1.47043378995434,1156556,20981240451.2344,2466970119.84318,879107424.192307,-3.44738142393619,1.67877921551435,15725075619.1011,20837718951.8302,13237596021.8234,378645,153.299056686132
"CY",2013,488.056399132321,1166968,19599104959.2463,2106760165.93558,761384550.417635,-6.58748225683094,-0.937733917292277,14917646502.1165,19368662822.7075,12694730877.6685,383501,331.627184470322
"CY",2014,482.71983103094,1176995,19251012720.9963,1919878674.26307,784957699.123391,-1.77606191187711,-1.33826248205131,14597539194.8426,18741267618.9178,12498583563.6994,388043,485.822375083639
"CY",2015,496.653385089622,1187280,19909190058.804,2028933762.34328,848155996.893379,3.41892318781653,-0.754234116436621,15034941750.8044,19779687028.7363,13043046662.8824,392444,551.676808387921
"CY",2016,518.603047586521,1197881,21217936634.8601,2299283744.6366,969769743.9479,6.57358020185954,-0.574732598335757,15822030561.7429,20360469604.0422,14281757221.224,396726,539.875867173929
"CY",2017,513.7649543379,1208523,22434461969.0365,2544827947.20764,1097135299.71247,5.73347613913472,1.03697633344262,16633461787.4214,21767241420.6284,15408085552.6199,400795,499.157169145006
"CY",2018,502.419063926941,1218831,23701528569.0948,2884264915.78144,1263244929.91431,5.64785820050915,1.00390723604291,17364221406.5833,22842192791.6054,15888175234.9321,404530,458.331077681649
"CY",2019,443.255993150685,1228836,25012087656.4461,3240025563.05529,1364243044.37239,5.52942854943188,1.32301892782176,18254606445.8352,23638942007.6903,16725149041.1392,407912,410.833798366111
"CY",2020,440.695547945205,1237537,23918440580.3503,3091984514.16793,1356674096.31638,-4.37247418575215,-1.20902538604891,17738517878.6042,22239848918.1643,15738319026.6753,410602,485.195153808276
"CY",2021,494.584474885845,1244188,25506368382.3966,3345889293.04997,1453327185.54145,6.63892696813528,2.87114487078119,18677021918.6938,23336004720.6097,16782886897.8955,412374,491.761141763793
