"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday"
"PL",2017-01-01,2017,1,1,1,15181.4166666667,-4038.17397260274,1
"PL",2017-01-02,2017,1,2,2,20179.75,960.159360730595,0
"PL",2017-01-03,2017,1,3,3,21319.375,2099.78436073059,0
"PL",2017-01-04,2017,1,4,4,21381.75,2162.15936073059,0
"PL",2017-01-05,2017,1,5,5,21813.375,2593.78436073059,0
"PL",2017-01-06,2017,1,6,6,18866.4166666667,-353.173972602737,1
"PL",2017-01-07,2017,1,7,7,19767.875,548.284360730595,0
"PL",2017-01-08,2017,1,8,1,18956.7083333333,-262.882305936073,0
"PL",2017-01-09,2017,1,9,2,22547.625,3328.03436073059,0
"PL",2017-01-10,2017,1,10,3,22873.5416666667,3653.95102739726,0
"PL",2017-01-11,2017,1,11,4,22866.25,3646.65936073059,0
"PL",2017-01-12,2017,1,12,5,22257.1666666667,3037.57602739726,0
"PL",2017-01-13,2017,1,13,6,21997.25,2777.65936073059,0
"PL",2017-01-14,2017,1,14,7,19851.125,631.534360730595,0
"PL",2017-01-15,2017,1,15,1,18073.8333333333,-1145.75730593607,0
"PL",2017-01-16,2017,1,16,2,21794,2574.40936073059,0
"PL",2017-01-17,2017,1,17,3,22504.8333333333,3285.24269406393,0
"PL",2017-01-18,2017,1,18,4,22684.3333333333,3464.74269406393,0
"PL",2017-01-19,2017,1,19,5,22691.7916666667,3472.20102739726,0
"PL",2017-01-20,2017,1,20,6,22310.125,3090.53436073059,0
"PL",2017-01-21,2017,1,21,7,19816.9166666667,597.326027397263,0
"PL",2017-01-22,2017,1,22,1,17912.6666666667,-1306.92397260274,0
"PL",2017-01-23,2017,1,23,2,21603.5833333333,2383.99269406393,0
"PL",2017-01-24,2017,1,24,3,22273.125,3053.53436073059,0
"PL",2017-01-25,2017,1,25,4,22202.1666666667,2982.57602739726,0
"PL",2017-01-26,2017,1,26,5,22042.875,2823.28436073059,0
"PL",2017-01-27,2017,1,27,6,22043.125,2823.53436073059,0
"PL",2017-01-28,2017,1,28,7,19778.0833333333,558.492694063927,0
"PL",2017-01-29,2017,1,29,1,17947.3333333333,-1272.25730593607,0
"PL",2017-01-30,2017,1,30,2,21531.625,2312.03436073059,0
"PL",2017-01-31,2017,1,31,3,22038.4166666667,2818.82602739726,0
"PL",2017-02-01,2017,2,1,4,22080.5416666667,2860.95102739726,0
"PL",2017-02-02,2017,2,2,5,21900.125,2680.53436073059,0
"PL",2017-02-03,2017,2,3,6,21753.7916666667,2534.20102739726,0
"PL",2017-02-04,2017,2,4,7,19506.375,286.784360730595,0
"PL",2017-02-05,2017,2,5,1,17842.6666666667,-1376.92397260274,0
"PL",2017-02-06,2017,2,6,2,21574.5,2354.90936073059,0
"PL",2017-02-07,2017,2,7,3,22323.8333333333,3104.24269406393,0
"PL",2017-02-08,2017,2,8,4,22646.5,3426.90936073059,0
"PL",2017-02-09,2017,2,9,5,22728.4583333333,3508.86769406393,0
"PL",2017-02-10,2017,2,10,6,22166.0833333333,2946.49269406393,0
"PL",2017-02-11,2017,2,11,7,19997.2083333333,777.617694063927,0
"PL",2017-02-12,2017,2,12,1,18336.5416666667,-883.048972602737,0
"PL",2017-02-13,2017,2,13,2,22221.4583333333,3001.86769406393,0
"PL",2017-02-14,2017,2,14,3,22322.0416666667,3102.45102739726,0
"PL",2017-02-15,2017,2,15,4,21865.3333333333,2645.74269406393,0
"PL",2017-02-16,2017,2,16,5,21435.5,2215.90936073059,0
"PL",2017-02-17,2017,2,17,6,21542.9583333333,2323.36769406393,0
"PL",2017-02-18,2017,2,18,7,19331.3333333333,111.742694063927,0
"PL",2017-02-19,2017,2,19,1,17267.5,-1952.09063926941,0
"PL",2017-02-20,2017,2,20,2,20692.625,1473.03436073059,0
"PL",2017-02-21,2017,2,21,3,21020.125,1800.53436073059,0
"PL",2017-02-22,2017,2,22,4,21037.4583333333,1817.86769406393,0
"PL",2017-02-23,2017,2,23,5,20888.2083333333,1668.61769406393,0
"PL",2017-02-24,2017,2,24,6,20847.0416666667,1627.45102739726,0
"PL",2017-02-25,2017,2,25,7,18838.2083333333,-381.382305936073,0
