"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"DK",2010,4054.39741979678,5547683,283894168259.757,55941130507.7524,31040659112.4557,1.87099114718497,3.224072873962,185633892462.344,286239931421.427,129452177455.394,732572,4051.65946972744
"DK",2011,3949.07752026487,5570572,287689202382.588,58270580863.4815,31770428878.8955,1.33677776690328,0.638643467690599,186215923234.95,288782557743.246,132995690274.39,726570,3940.3798273061
"DK",2012,3882.73926904247,5591572,288340817827.024,58815521622.7462,32969017117.9378,0.226499791802965,2.37518362751084,185357777760.48,290778544212.251,135373849308.608,718964,3814.20814358039
"DK",2013,3637.90352779998,5614932,291032020819.874,58386283337.9227,34282665237.2897,0.933340972371226,0.888170882360484,189609878032.32,297618744612.46,136729021129.14,713546,3775.13094911114
"DK",2014,3813.39913232104,5643475,295744975353.148,58513131212.0129,35075947468.2545,1.61939381103033,1.03210857831324,194004586124.241,305847533058.589,137105866612.666,710514,3795.58917915078
"DK",2015,3837.8173173516,5683483,302673070846.857,60496642597.1712,37541887296.2209,2.34259110757047,0.433060802052097,199261221746.392,311964189253.733,141266482656.479,708958,3814.42804547492
"DK",2016,3867.26944444444,5728010,312497708532.463,64588953965.8107,40419033912.6386,3.24595698524399,0.25459516653126,203590270606.903,318897690886.515,147222250678.595,707867,3772.77209057722
"DK",2017,3706.48675799087,5764980,321315569939.823,66651252896.7591,41801092589.7321,2.82173634129026,1.18466161152733,208554116669.419,327303155382.09,151535514559.049,705807,3837.43414311856
"DK",2018,3834.47157534247,5793636,327708263102.566,68243585249.5915,42891835798.7645,1.98953731496432,0.747856838144173,212738383285.816,334632763124.369,156297853109.95,702536,3797.57213370223
"DK",2019,3828.77043378995,5814422,332602543274.049,68878454762.5998,44591140759.9117,1.49348695853648,1.04879424424314,216424862333.265,340014918512.068,159789351774.653,698080,3841.55644786453
"DK",2020,3882.64349315069,5831404,325968427772.869,65190637110.964,43000592441.2178,-1.99460756850381,2.60762107978847,213567559220.832,338018205665.584,156184131574.093,693004,3854.24546168192
"DK",2021,4143.0053652968,5856733,341796501447.231,66035345605.7467,40865600161.2252,4.85570758570233,2.76660819348507,227971207825.798,357483212432.743,162736938424.882,688752,4120.56855908419
