"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"EE",2009,891.225139856148,1334515,18957312552.2555,4450231541.63493,2329866989.9018,-14.6290550324223,-0.388681742671551,11535221013.8106,17791916825.8684,9127045535.95389,424069,899.033747486659
"EE",2010,931.533622559653,1331475,19420679530.2801,4738886725.00096,2670144944.96611,2.44426511799784,1.82235230425346,11637267835.8251,17733080466.7914,9654858739.98209,424820,908.172308103412
"EE",2011,901.568786391141,1327439,20831219910.825,5358289089.11983,3043220014.9795,7.26308458128695,5.47373678522737,12142602370.9121,19247935030.2871,10448801811.3824,425245,925.047688658652
"EE",2012,928.54286690197,1322696,21503693454.807,5433208553.93682,3012376825.50922,3.22820049358981,4.07217562273709,12644875052.4231,20111868337.7012,10776432516.3956,423607,920.132523850918
"EE",2013,905.232104121475,1317997,21817309477.984,5530687094.31859,2996594555.70289,1.45842863615992,4.03124999019823,12910150108.8888,20982923608.3601,10957440109.5749,420151,919.59090565119
"EE",2014,900.376184495947,1314545,22474308645.6805,5567481979.68606,3187327290.26999,3.01136658651455,2.91561332318757,13319436977.5733,21774906114.3301,11566592179.3127,417118,909.619087695406
"EE",2015,905.463383982635,1315407,22890762090.1508,5462487004.67188,3183173621.48399,1.85302004629342,1.03644083022607,13733233239.4695,22387751107.0312,11764721045.2551,415458,902.571574138133
"EE",2016,927.013860428051,1315790,23613094924.4117,5678368060.20444,3279031859.74682,3.15556481438308,2.18730990746438,14175937209.367,23279953693.3855,11955072249.1949,413645,914.753614944414
"EE",2017,947.596461187215,1317384,24980775931.5047,5995108091.22664,3400126912.00396,5.79204467466494,3.59036501479098,15080203949.9782,24543223989.9062,12850935048.41,412117,928.313965134377
"EE",2018,954.024429223744,1321977,25926098666.5234,6228528971.31947,3492719272.12159,3.78420084952826,4.83777941523971,15782821350.8632,25771342699.0262,13168642878.5644,411399,944.680665990241
"EE",2019,939.6350456621,1326898,26895658710.6379,6172373120.7242,3522800468.31099,3.73970668161645,3.20705842626813,16553511465.4976,26693467738.5277,13515531125.4826,410662,945.448988529783
"EE",2020,905.158219178082,1329522,26747463292.8629,6092925180.74452,3432771591.38697,-0.55100125774716,-0.531509461698576,16844299332.1467,26876676054.5922,14023269866.0973,409107,920.005033804976
"EE",2021,962.207420091324,1330932,28890861346.9492,6675656015.03469,3674519793.91816,8.01346292400842,5.99690607967077,18067834222.9111,29418826384.4918,15410941533.0172,407066,961.011907593788
