"Date","load","unit","year","time_interval","country"
2017-01-01 00:00:00,23393,"MAW",2017,"60 mins","ES"
2017-01-01 01:00:00,21909,"MAW",2017,"60 mins","ES"
2017-01-01 02:00:00,20615,"MAW",2017,"60 mins","ES"
2017-01-01 03:00:00,19628,"MAW",2017,"60 mins","ES"
2017-01-01 04:00:00,19252,"MAW",2017,"60 mins","ES"
2017-01-01 05:00:00,19351,"MAW",2017,"60 mins","ES"
2017-01-01 06:00:00,19691,"MAW",2017,"60 mins","ES"
2017-01-01 07:00:00,19600,"MAW",2017,"60 mins","ES"
2017-01-01 08:00:00,20238,"MAW",2017,"60 mins","ES"
2017-01-01 09:00:00,22001,"MAW",2017,"60 mins","ES"
2017-01-01 10:00:00,23417,"MAW",2017,"60 mins","ES"
2017-01-01 11:00:00,24064,"MAW",2017,"60 mins","ES"
2017-01-01 12:00:00,24655,"MAW",2017,"60 mins","ES"
2017-01-01 13:00:00,24680,"MAW",2017,"60 mins","ES"
2017-01-01 14:00:00,23427,"MAW",2017,"60 mins","ES"
2017-01-01 15:00:00,22972,"MAW",2017,"60 mins","ES"
2017-01-01 16:00:00,23540,"MAW",2017,"60 mins","ES"
2017-01-01 17:00:00,26259,"MAW",2017,"60 mins","ES"
2017-01-01 18:00:00,27668,"MAW",2017,"60 mins","ES"
2017-01-01 19:00:00,28683,"MAW",2017,"60 mins","ES"
2017-01-01 20:00:00,29180,"MAW",2017,"60 mins","ES"
2017-01-01 21:00:00,28618,"MAW",2017,"60 mins","ES"
2017-01-01 22:00:00,26357,"MAW",2017,"60 mins","ES"
2017-01-01 23:00:00,23755,"MAW",2017,"60 mins","ES"
2017-01-02 00:00:00,21649,"MAW",2017,"60 mins","ES"
2017-01-02 01:00:00,20422,"MAW",2017,"60 mins","ES"
2017-01-02 02:00:00,19846,"MAW",2017,"60 mins","ES"
2017-01-02 03:00:00,19749,"MAW",2017,"60 mins","ES"
2017-01-02 04:00:00,20450,"MAW",2017,"60 mins","ES"
2017-01-02 05:00:00,22781,"MAW",2017,"60 mins","ES"
2017-01-02 06:00:00,25922,"MAW",2017,"60 mins","ES"
2017-01-02 07:00:00,28485,"MAW",2017,"60 mins","ES"
2017-01-02 08:00:00,30812,"MAW",2017,"60 mins","ES"
2017-01-02 09:00:00,32838,"MAW",2017,"60 mins","ES"
2017-01-02 10:00:00,33448,"MAW",2017,"60 mins","ES"
2017-01-02 11:00:00,33400,"MAW",2017,"60 mins","ES"
2017-01-02 12:00:00,33486,"MAW",2017,"60 mins","ES"
2017-01-02 13:00:00,32622,"MAW",2017,"60 mins","ES"
2017-01-02 14:00:00,31811,"MAW",2017,"60 mins","ES"
2017-01-02 15:00:00,31522,"MAW",2017,"60 mins","ES"
2017-01-02 16:00:00,32181,"MAW",2017,"60 mins","ES"
2017-01-02 17:00:00,34087,"MAW",2017,"60 mins","ES"
2017-01-02 18:00:00,34713,"MAW",2017,"60 mins","ES"
2017-01-02 19:00:00,34955,"MAW",2017,"60 mins","ES"
2017-01-02 20:00:00,34572,"MAW",2017,"60 mins","ES"
2017-01-02 21:00:00,32689,"MAW",2017,"60 mins","ES"
2017-01-02 22:00:00,29723,"MAW",2017,"60 mins","ES"
2017-01-02 23:00:00,27117,"MAW",2017,"60 mins","ES"
2017-01-03 00:00:00,24766,"MAW",2017,"60 mins","ES"
2017-01-03 01:00:00,23281,"MAW",2017,"60 mins","ES"
2017-01-03 02:00:00,22719,"MAW",2017,"60 mins","ES"
2017-01-03 03:00:00,22559,"MAW",2017,"60 mins","ES"
2017-01-03 04:00:00,23189,"MAW",2017,"60 mins","ES"
2017-01-03 05:00:00,25512,"MAW",2017,"60 mins","ES"
2017-01-03 06:00:00,29200,"MAW",2017,"60 mins","ES"
2017-01-03 07:00:00,32300,"MAW",2017,"60 mins","ES"
2017-01-03 08:00:00,34788,"MAW",2017,"60 mins","ES"
2017-01-03 09:00:00,36112,"MAW",2017,"60 mins","ES"
2017-01-03 10:00:00,36202,"MAW",2017,"60 mins","ES"
2017-01-03 11:00:00,35633,"MAW",2017,"60 mins","ES"
2017-01-03 12:00:00,35525,"MAW",2017,"60 mins","ES"
2017-01-03 13:00:00,34348,"MAW",2017,"60 mins","ES"
2017-01-03 14:00:00,33413,"MAW",2017,"60 mins","ES"
2017-01-03 15:00:00,33141,"MAW",2017,"60 mins","ES"
2017-01-03 16:00:00,33694,"MAW",2017,"60 mins","ES"
2017-01-03 17:00:00,35528,"MAW",2017,"60 mins","ES"
2017-01-03 18:00:00,35991,"MAW",2017,"60 mins","ES"
2017-01-03 19:00:00,36159,"MAW",2017,"60 mins","ES"
2017-01-03 20:00:00,35633,"MAW",2017,"60 mins","ES"
2017-01-03 21:00:00,33492,"MAW",2017,"60 mins","ES"
2017-01-03 22:00:00,30433,"MAW",2017,"60 mins","ES"
2017-01-03 23:00:00,27702,"MAW",2017,"60 mins","ES"
2017-01-04 00:00:00,25348,"MAW",2017,"60 mins","ES"
2017-01-04 01:00:00,23946,"MAW",2017,"60 mins","ES"
2017-01-04 02:00:00,23349,"MAW",2017,"60 mins","ES"
2017-01-04 03:00:00,23194,"MAW",2017,"60 mins","ES"
2017-01-04 04:00:00,23664,"MAW",2017,"60 mins","ES"
2017-01-04 05:00:00,25870,"MAW",2017,"60 mins","ES"
2017-01-04 06:00:00,29496,"MAW",2017,"60 mins","ES"
2017-01-04 07:00:00,32365,"MAW",2017,"60 mins","ES"
2017-01-04 08:00:00,34619,"MAW",2017,"60 mins","ES"
2017-01-04 09:00:00,35607,"MAW",2017,"60 mins","ES"
2017-01-04 10:00:00,35420,"MAW",2017,"60 mins","ES"
2017-01-04 11:00:00,34704,"MAW",2017,"60 mins","ES"
2017-01-04 12:00:00,34632,"MAW",2017,"60 mins","ES"
2017-01-04 13:00:00,33591,"MAW",2017,"60 mins","ES"
2017-01-04 14:00:00,32725,"MAW",2017,"60 mins","ES"
2017-01-04 15:00:00,32515,"MAW",2017,"60 mins","ES"
2017-01-04 16:00:00,32958,"MAW",2017,"60 mins","ES"
2017-01-04 17:00:00,34757,"MAW",2017,"60 mins","ES"
2017-01-04 18:00:00,35291,"MAW",2017,"60 mins","ES"
2017-01-04 19:00:00,35284,"MAW",2017,"60 mins","ES"
2017-01-04 20:00:00,35201,"MAW",2017,"60 mins","ES"
2017-01-04 21:00:00,33462,"MAW",2017,"60 mins","ES"
2017-01-04 22:00:00,30539,"MAW",2017,"60 mins","ES"
2017-01-04 23:00:00,28002,"MAW",2017,"60 mins","ES"
2017-01-05 00:00:00,25528,"MAW",2017,"60 mins","ES"
2017-01-05 01:00:00,24080,"MAW",2017,"60 mins","ES"
2017-01-05 02:00:00,23359,"MAW",2017,"60 mins","ES"
2017-01-05 03:00:00,23152,"MAW",2017,"60 mins","ES"
2017-01-05 04:00:00,23560,"MAW",2017,"60 mins","ES"
2017-01-05 05:00:00,25446,"MAW",2017,"60 mins","ES"
2017-01-05 06:00:00,28714,"MAW",2017,"60 mins","ES"
2017-01-05 07:00:00,31328,"MAW",2017,"60 mins","ES"
2017-01-05 08:00:00,33618,"MAW",2017,"60 mins","ES"
2017-01-05 09:00:00,34626,"MAW",2017,"60 mins","ES"
2017-01-05 10:00:00,34604,"MAW",2017,"60 mins","ES"
2017-01-05 11:00:00,33828,"MAW",2017,"60 mins","ES"
2017-01-05 12:00:00,33404,"MAW",2017,"60 mins","ES"
2017-01-05 13:00:00,32084,"MAW",2017,"60 mins","ES"
2017-01-05 14:00:00,30853,"MAW",2017,"60 mins","ES"
2017-01-05 15:00:00,30444,"MAW",2017,"60 mins","ES"
2017-01-05 16:00:00,30464,"MAW",2017,"60 mins","ES"
2017-01-05 17:00:00,31777,"MAW",2017,"60 mins","ES"
2017-01-05 18:00:00,31865,"MAW",2017,"60 mins","ES"
2017-01-05 19:00:00,31820,"MAW",2017,"60 mins","ES"
2017-01-05 20:00:00,31717,"MAW",2017,"60 mins","ES"
2017-01-05 21:00:00,30382,"MAW",2017,"60 mins","ES"
2017-01-05 22:00:00,28466,"MAW",2017,"60 mins","ES"
2017-01-05 23:00:00,26483,"MAW",2017,"60 mins","ES"
2017-01-06 00:00:00,24192,"MAW",2017,"60 mins","ES"
2017-01-06 01:00:00,22472,"MAW",2017,"60 mins","ES"
2017-01-06 02:00:00,21530,"MAW",2017,"60 mins","ES"
2017-01-06 03:00:00,21168,"MAW",2017,"60 mins","ES"
2017-01-06 04:00:00,21070,"MAW",2017,"60 mins","ES"
2017-01-06 05:00:00,21391,"MAW",2017,"60 mins","ES"
2017-01-06 06:00:00,22452,"MAW",2017,"60 mins","ES"
2017-01-06 07:00:00,22804,"MAW",2017,"60 mins","ES"
2017-01-06 08:00:00,24629,"MAW",2017,"60 mins","ES"
2017-01-06 09:00:00,26449,"MAW",2017,"60 mins","ES"
2017-01-06 10:00:00,27131,"MAW",2017,"60 mins","ES"
2017-01-06 11:00:00,26852,"MAW",2017,"60 mins","ES"
2017-01-06 12:00:00,26987,"MAW",2017,"60 mins","ES"
2017-01-06 13:00:00,26313,"MAW",2017,"60 mins","ES"
2017-01-06 14:00:00,24900,"MAW",2017,"60 mins","ES"
2017-01-06 15:00:00,24261,"MAW",2017,"60 mins","ES"
2017-01-06 16:00:00,24628,"MAW",2017,"60 mins","ES"
2017-01-06 17:00:00,27130,"MAW",2017,"60 mins","ES"
2017-01-06 18:00:00,28605,"MAW",2017,"60 mins","ES"
2017-01-06 19:00:00,29498,"MAW",2017,"60 mins","ES"
2017-01-06 20:00:00,30080,"MAW",2017,"60 mins","ES"
2017-01-06 21:00:00,29736,"MAW",2017,"60 mins","ES"
2017-01-06 22:00:00,27790,"MAW",2017,"60 mins","ES"
2017-01-06 23:00:00,25934,"MAW",2017,"60 mins","ES"
2017-01-07 00:00:00,23897,"MAW",2017,"60 mins","ES"
2017-01-07 01:00:00,22395,"MAW",2017,"60 mins","ES"
2017-01-07 02:00:00,21554,"MAW",2017,"60 mins","ES"
2017-01-07 03:00:00,21337,"MAW",2017,"60 mins","ES"
2017-01-07 04:00:00,21578,"MAW",2017,"60 mins","ES"
2017-01-07 05:00:00,22518,"MAW",2017,"60 mins","ES"
2017-01-07 06:00:00,23983,"MAW",2017,"60 mins","ES"
2017-01-07 07:00:00,25545,"MAW",2017,"60 mins","ES"
2017-01-07 08:00:00,27940,"MAW",2017,"60 mins","ES"
2017-01-07 09:00:00,30222,"MAW",2017,"60 mins","ES"
2017-01-07 10:00:00,30533,"MAW",2017,"60 mins","ES"
2017-01-07 11:00:00,30100,"MAW",2017,"60 mins","ES"
2017-01-07 12:00:00,30221,"MAW",2017,"60 mins","ES"
2017-01-07 13:00:00,29987,"MAW",2017,"60 mins","ES"
2017-01-07 14:00:00,28905,"MAW",2017,"60 mins","ES"
2017-01-07 15:00:00,28307,"MAW",2017,"60 mins","ES"
2017-01-07 16:00:00,28562,"MAW",2017,"60 mins","ES"
2017-01-07 17:00:00,31117,"MAW",2017,"60 mins","ES"
2017-01-07 18:00:00,32559,"MAW",2017,"60 mins","ES"
2017-01-07 19:00:00,33140,"MAW",2017,"60 mins","ES"
2017-01-07 20:00:00,33124,"MAW",2017,"60 mins","ES"
2017-01-07 21:00:00,31669,"MAW",2017,"60 mins","ES"
2017-01-07 22:00:00,29495,"MAW",2017,"60 mins","ES"
2017-01-07 23:00:00,26843,"MAW",2017,"60 mins","ES"
2017-01-08 00:00:00,24617,"MAW",2017,"60 mins","ES"
2017-01-08 01:00:00,22827,"MAW",2017,"60 mins","ES"
2017-01-08 02:00:00,21959,"MAW",2017,"60 mins","ES"
2017-01-08 03:00:00,21533,"MAW",2017,"60 mins","ES"
2017-01-08 04:00:00,21624,"MAW",2017,"60 mins","ES"
2017-01-08 05:00:00,22088,"MAW",2017,"60 mins","ES"
2017-01-08 06:00:00,22855,"MAW",2017,"60 mins","ES"
2017-01-08 07:00:00,23524,"MAW",2017,"60 mins","ES"
2017-01-08 08:00:00,25417,"MAW",2017,"60 mins","ES"
2017-01-08 09:00:00,27817,"MAW",2017,"60 mins","ES"
2017-01-08 10:00:00,28756,"MAW",2017,"60 mins","ES"
2017-01-08 11:00:00,28779,"MAW",2017,"60 mins","ES"
2017-01-08 12:00:00,28874,"MAW",2017,"60 mins","ES"
2017-01-08 13:00:00,29113,"MAW",2017,"60 mins","ES"
2017-01-08 14:00:00,28088,"MAW",2017,"60 mins","ES"
2017-01-08 15:00:00,27342,"MAW",2017,"60 mins","ES"
2017-01-08 16:00:00,27576,"MAW",2017,"60 mins","ES"
2017-01-08 17:00:00,30498,"MAW",2017,"60 mins","ES"
2017-01-08 18:00:00,32421,"MAW",2017,"60 mins","ES"
2017-01-08 19:00:00,33746,"MAW",2017,"60 mins","ES"
2017-01-08 20:00:00,33796,"MAW",2017,"60 mins","ES"
2017-01-08 21:00:00,32188,"MAW",2017,"60 mins","ES"
2017-01-08 22:00:00,29224,"MAW",2017,"60 mins","ES"
2017-01-08 23:00:00,26258,"MAW",2017,"60 mins","ES"
2017-01-09 00:00:00,24203,"MAW",2017,"60 mins","ES"
2017-01-09 01:00:00,23045,"MAW",2017,"60 mins","ES"
2017-01-09 02:00:00,22566,"MAW",2017,"60 mins","ES"
2017-01-09 03:00:00,22607,"MAW",2017,"60 mins","ES"
2017-01-09 04:00:00,23178,"MAW",2017,"60 mins","ES"
2017-01-09 05:00:00,26309,"MAW",2017,"60 mins","ES"
2017-01-09 06:00:00,31669,"MAW",2017,"60 mins","ES"
2017-01-09 07:00:00,35546,"MAW",2017,"60 mins","ES"
2017-01-09 08:00:00,36948,"MAW",2017,"60 mins","ES"
2017-01-09 09:00:00,37517,"MAW",2017,"60 mins","ES"
2017-01-09 10:00:00,37150,"MAW",2017,"60 mins","ES"
2017-01-09 11:00:00,36537,"MAW",2017,"60 mins","ES"
2017-01-09 12:00:00,36196,"MAW",2017,"60 mins","ES"
2017-01-09 13:00:00,35052,"MAW",2017,"60 mins","ES"
2017-01-09 14:00:00,34585,"MAW",2017,"60 mins","ES"
2017-01-09 15:00:00,34426,"MAW",2017,"60 mins","ES"
2017-01-09 16:00:00,34919,"MAW",2017,"60 mins","ES"
2017-01-09 17:00:00,37276,"MAW",2017,"60 mins","ES"
2017-01-09 18:00:00,38418,"MAW",2017,"60 mins","ES"
2017-01-09 19:00:00,38645,"MAW",2017,"60 mins","ES"
2017-01-09 20:00:00,38001,"MAW",2017,"60 mins","ES"
2017-01-09 21:00:00,34981,"MAW",2017,"60 mins","ES"
2017-01-09 22:00:00,31360,"MAW",2017,"60 mins","ES"
2017-01-09 23:00:00,28795,"MAW",2017,"60 mins","ES"
2017-01-10 00:00:00,26343,"MAW",2017,"60 mins","ES"
2017-01-10 01:00:00,24973,"MAW",2017,"60 mins","ES"
2017-01-10 02:00:00,24387,"MAW",2017,"60 mins","ES"
2017-01-10 03:00:00,24290,"MAW",2017,"60 mins","ES"
2017-01-10 04:00:00,24982,"MAW",2017,"60 mins","ES"
2017-01-10 05:00:00,27771,"MAW",2017,"60 mins","ES"
2017-01-10 06:00:00,32742,"MAW",2017,"60 mins","ES"
2017-01-10 07:00:00,36325,"MAW",2017,"60 mins","ES"
2017-01-10 08:00:00,37371,"MAW",2017,"60 mins","ES"
2017-01-10 09:00:00,38125,"MAW",2017,"60 mins","ES"
2017-01-10 10:00:00,38117,"MAW",2017,"60 mins","ES"
2017-01-10 11:00:00,37768,"MAW",2017,"60 mins","ES"
2017-01-10 12:00:00,37453,"MAW",2017,"60 mins","ES"
2017-01-10 13:00:00,36316,"MAW",2017,"60 mins","ES"
2017-01-10 14:00:00,35757,"MAW",2017,"60 mins","ES"
2017-01-10 15:00:00,35585,"MAW",2017,"60 mins","ES"
2017-01-10 16:00:00,36139,"MAW",2017,"60 mins","ES"
2017-01-10 17:00:00,37952,"MAW",2017,"60 mins","ES"
2017-01-10 18:00:00,38818,"MAW",2017,"60 mins","ES"
2017-01-10 19:00:00,38864,"MAW",2017,"60 mins","ES"
2017-01-10 20:00:00,37883,"MAW",2017,"60 mins","ES"
2017-01-10 21:00:00,34896,"MAW",2017,"60 mins","ES"
2017-01-10 22:00:00,31439,"MAW",2017,"60 mins","ES"
2017-01-10 23:00:00,28508,"MAW",2017,"60 mins","ES"
2017-01-11 00:00:00,26220,"MAW",2017,"60 mins","ES"
2017-01-11 01:00:00,24893,"MAW",2017,"60 mins","ES"
2017-01-11 02:00:00,24403,"MAW",2017,"60 mins","ES"
2017-01-11 03:00:00,24217,"MAW",2017,"60 mins","ES"
2017-01-11 04:00:00,24932,"MAW",2017,"60 mins","ES"
2017-01-11 05:00:00,27641,"MAW",2017,"60 mins","ES"
2017-01-11 06:00:00,32549,"MAW",2017,"60 mins","ES"
2017-01-11 07:00:00,35782,"MAW",2017,"60 mins","ES"
2017-01-11 08:00:00,36484,"MAW",2017,"60 mins","ES"
2017-01-11 09:00:00,36841,"MAW",2017,"60 mins","ES"
2017-01-11 10:00:00,36500,"MAW",2017,"60 mins","ES"
2017-01-11 11:00:00,35812,"MAW",2017,"60 mins","ES"
2017-01-11 12:00:00,35541,"MAW",2017,"60 mins","ES"
2017-01-11 13:00:00,34391,"MAW",2017,"60 mins","ES"
2017-01-11 14:00:00,33840,"MAW",2017,"60 mins","ES"
2017-01-11 15:00:00,33688,"MAW",2017,"60 mins","ES"
2017-01-11 16:00:00,34277,"MAW",2017,"60 mins","ES"
2017-01-11 17:00:00,36267,"MAW",2017,"60 mins","ES"
2017-01-11 18:00:00,37643,"MAW",2017,"60 mins","ES"
2017-01-11 19:00:00,37956,"MAW",2017,"60 mins","ES"
2017-01-11 20:00:00,37243,"MAW",2017,"60 mins","ES"
2017-01-11 21:00:00,34502,"MAW",2017,"60 mins","ES"
2017-01-11 22:00:00,31075,"MAW",2017,"60 mins","ES"
2017-01-11 23:00:00,28355,"MAW",2017,"60 mins","ES"
2017-01-12 00:00:00,26180,"MAW",2017,"60 mins","ES"
2017-01-12 01:00:00,24805,"MAW",2017,"60 mins","ES"
2017-01-12 02:00:00,24238,"MAW",2017,"60 mins","ES"
2017-01-12 03:00:00,24168,"MAW",2017,"60 mins","ES"
2017-01-12 04:00:00,24841,"MAW",2017,"60 mins","ES"
2017-01-12 05:00:00,27338,"MAW",2017,"60 mins","ES"
2017-01-12 06:00:00,32226,"MAW",2017,"60 mins","ES"
2017-01-12 07:00:00,35449,"MAW",2017,"60 mins","ES"
2017-01-12 08:00:00,36194,"MAW",2017,"60 mins","ES"
2017-01-12 09:00:00,36318,"MAW",2017,"60 mins","ES"
2017-01-12 10:00:00,35824,"MAW",2017,"60 mins","ES"
2017-01-12 11:00:00,35236,"MAW",2017,"60 mins","ES"
2017-01-12 12:00:00,34968,"MAW",2017,"60 mins","ES"
2017-01-12 13:00:00,33769,"MAW",2017,"60 mins","ES"
2017-01-12 14:00:00,33330,"MAW",2017,"60 mins","ES"
2017-01-12 15:00:00,33268,"MAW",2017,"60 mins","ES"
2017-01-12 16:00:00,33844,"MAW",2017,"60 mins","ES"
2017-01-12 17:00:00,35905,"MAW",2017,"60 mins","ES"
2017-01-12 18:00:00,37104,"MAW",2017,"60 mins","ES"
2017-01-12 19:00:00,37124,"MAW",2017,"60 mins","ES"
2017-01-12 20:00:00,36367,"MAW",2017,"60 mins","ES"
2017-01-12 21:00:00,33694,"MAW",2017,"60 mins","ES"
2017-01-12 22:00:00,30251,"MAW",2017,"60 mins","ES"
2017-01-12 23:00:00,27809,"MAW",2017,"60 mins","ES"
2017-01-13 00:00:00,25711,"MAW",2017,"60 mins","ES"
2017-01-13 01:00:00,24333,"MAW",2017,"60 mins","ES"
2017-01-13 02:00:00,23765,"MAW",2017,"60 mins","ES"
2017-01-13 03:00:00,23704,"MAW",2017,"60 mins","ES"
2017-01-13 04:00:00,24421,"MAW",2017,"60 mins","ES"
2017-01-13 05:00:00,27034,"MAW",2017,"60 mins","ES"
2017-01-13 06:00:00,31836,"MAW",2017,"60 mins","ES"
2017-01-13 07:00:00,34619,"MAW",2017,"60 mins","ES"
2017-01-13 08:00:00,35445,"MAW",2017,"60 mins","ES"
2017-01-13 09:00:00,36050,"MAW",2017,"60 mins","ES"
2017-01-13 10:00:00,35916,"MAW",2017,"60 mins","ES"
2017-01-13 11:00:00,35512,"MAW",2017,"60 mins","ES"
2017-01-13 12:00:00,35393,"MAW",2017,"60 mins","ES"
2017-01-13 13:00:00,34207,"MAW",2017,"60 mins","ES"
2017-01-13 14:00:00,33597,"MAW",2017,"60 mins","ES"
2017-01-13 15:00:00,33316,"MAW",2017,"60 mins","ES"
2017-01-13 16:00:00,33678,"MAW",2017,"60 mins","ES"
