"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday","weighted_temperature"
"ES",2017-01-01,2017,1,1,1,23456.375,-5401.60422374429,1,8.95795116158926
"ES",2017-01-02,2017,1,2,2,29136.6666666667,278.687442922375,0,8.89522404640971
"ES",2017-01-03,2017,1,3,3,31305,2447.02077625571,0,11.0292531525944
"ES",2017-01-04,2017,1,4,4,31105.7916666667,2247.81244292238,0,12.9646601061154
"ES",2017-01-05,2017,1,5,5,29650.0833333333,792.10410958904,0,12.6185044303148
"ES",2017-01-06,2017,1,6,6,25333.4166666667,-3524.56255707762,1,9.67439717765685
"ES",2017-01-07,2017,1,7,7,27730.4583333333,-1127.52089041096,0,9.38368294319029
"ES",2017-01-08,2017,1,8,1,27121.6666666667,-1736.31255707762,0,8.78746441182922
"ES",2017-01-09,2017,1,9,2,32497.0416666667,3639.06244292238,0,9.01242149222287
"ES",2017-01-10,2017,1,10,3,33450.1666666667,4592.18744292237,0,11.0226848647305
"ES",2017-01-11,2017,1,11,4,32543.8333333333,3685.85410958904,0,13.4113415483786
"ES",2017-01-12,2017,1,12,5,32093.75,3235.77077625571,0,11.9290734155002
"ES",2017-01-13,2017,1,13,6,31971.7916666667,3113.81244292238,0,12.7702375477635
"ES",2017-01-14,2017,1,14,7,29419.375,561.395776255707,0,9.88175973778079
"ES",2017-01-15,2017,1,15,1,27729.9583333333,-1128.02089041096,0,10.3351913841319
"ES",2017-01-16,2017,1,16,2,32683.2916666667,3825.31244292238,0,12.7008738104983
"ES",2017-01-17,2017,1,17,3,33608.3333333333,4750.35410958904,0,10.4305207894124
"ES",2017-01-18,2017,1,18,4,35065.875,6207.89577625571,0,4.12245365083392
"ES",2017-01-19,2017,1,19,5,35339.7916666667,6481.81244292237,0,5.79506219462631
"ES",2017-01-20,2017,1,20,6,34742.25,5884.27077625571,0,8.4083451215348
"ES",2017-01-21,2017,1,21,7,30475.625,1617.64577625571,0,9.24523045017327
"ES",2017-01-22,2017,1,22,1,28100.75,-757.229223744293,0,10.7694939711084
"ES",2017-01-23,2017,1,23,2,33274.25,4416.27077625571,0,10.0541429060999
"ES",2017-01-24,2017,1,24,3,33423.125,4565.14577625571,0,9.81393775541817
"ES",2017-01-25,2017,1,25,4,33744.7916666667,4886.81244292237,0,9.63081799393832
"ES",2017-01-26,2017,1,26,5,34055.4166666667,5197.43744292237,0,9.03781036924532
"ES",2017-01-27,2017,1,27,6,33342.75,4484.77077625571,0,11.0352550928422
"ES",2017-01-28,2017,1,28,7,29262.7916666667,404.812442922375,0,11.8492394117419
"ES",2017-01-29,2017,1,29,1,27224.8333333333,-1633.14589041096,0,11.5051759061428
"ES",2017-01-30,2017,1,30,2,31729.75,2871.77077625571,0,13.6128842489413
"ES",2017-01-31,2017,1,31,3,31725.3333333333,2867.35410958904,0,12.2125750180857
"ES",2017-02-01,2017,2,1,4,31483.2916666667,2625.31244292238,0,12.5412788038304
"ES",2017-02-02,2017,2,2,5,31589.3333333333,2731.35410958904,0,11.7191496377608
"ES",2017-02-03,2017,2,3,6,31120.25,2262.27077625571,0,14.2561431005769
"ES",2017-02-04,2017,2,4,7,27663.4583333333,-1194.52089041096,0,15.5078973309155
"ES",2017-02-05,2017,2,5,1,25938.875,-2919.10422374429,0,14.8858022702832
"ES",2017-02-06,2017,2,6,2,30745,1887.02077625571,0,13.8813723666193
"ES",2017-02-07,2017,2,7,3,30896.5,2038.52077625571,0,15.9179876476232
"ES",2017-02-08,2017,2,8,4,31237.3333333333,2379.35410958904,0,12.4238937472748
"ES",2017-02-09,2017,2,9,5,31754,2896.02077625571,0,11.0416556082681
"ES",2017-02-10,2017,2,10,6,32126.2083333333,3268.22910958904,0,9.65893483312286
"ES",2017-02-11,2017,2,11,7,28837.9166666667,-20.0625570776247,0,11.902757812129
"ES",2017-02-12,2017,2,12,1,26553.375,-2304.60422374429,0,13.3114969450039
"ES",2017-02-13,2017,2,13,2,31020.375,2162.39577625571,0,14.6855015914843
"ES",2017-02-14,2017,2,14,3,31187.1666666667,2329.18744292238,0,12.7257166715971
"ES",2017-02-15,2017,2,15,4,30594.375,1736.39577625571,0,12.852627074619
"ES",2017-02-16,2017,2,16,5,30757.625,1899.64577625571,0,13.2831186719149
"ES",2017-02-17,2017,2,17,6,30491.0416666667,1633.06244292238,0,12.9013371222782
"ES",2017-02-18,2017,2,18,7,27578.4166666667,-1279.56255707762,0,11.9830975384673
"ES",2017-02-19,2017,2,19,1,25486.9166666667,-3371.06255707762,0,13.1712250019376
"ES",2017-02-20,2017,2,20,2,30068.625,1210.64577625571,0,12.3294573946201
