"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"FI",2010,9984.68101381436,5363352,233646772072.266,61118010702.1604,39647538548.759,3.18595865407703,0.322930666499261,137718257296.302,234412373690.235,119153189209.179,870472,9906.05896909395
"FI",2011,9616.676447083,5388272,239599308730.469,59974248931.7609,38960693258.953,2.54766483842627,2.6235333499222,142098346584.228,236521728560.298,122367835896.411,845258,9902.21429975927
"FI",2012,9691.64795627918,5413971,236250798826.562,55232556916.6294,34163099194.1133,-1.39754572817782,2.97397234009919,143379017112.428,232531062552.146,124184880082.598,820704,9541.53998530502
"FI",2013,9594.28941660007,5438972,234120534076.562,54600738882.8472,33958311421.2097,-0.901696316194844,2.55829450973857,141508624159.304,231189677000.561,124285590422.907,809047,9514.55263625981
"FI",2014,9514.28233816646,5461512,233266209150.781,53878623676.9867,33718674108.7228,-0.364908156882066,1.63162333665335,141675480272.247,232897836447.426,124003686360.414,809669,9473.9869339722
"FI",2015,9417.66274688891,5479531,234534382384.766,54660152556.6408,34440389637.8908,0.543659211765487,1.61674649704926,142650072347.657,236841059684.375,127426272053.871,809601,9512.02709633985
"FI",2016,9683.32534949909,5495303,241128217493.75,56658779155.3943,35121991351.7709,2.81145776663433,0.0874254582934526,145504125835.918,242074276945.328,131345495068.715,809183,9601.49822003744
"FI",2017,9520.58881278539,5508214,248826017928.906,60715259252.1301,37824026481.3429,3.19240962968416,0.819262897258781,148708898532.621,248337889951.701,135663259015.038,808330,9638.32168170763
"FI",2018,9792.51324200913,5515525,251661932877.344,60389291634.8466,36728141526.2307,1.1397180134305,2.00183627649704,150605645843.971,252713131989.463,136358912030.506,806259,9505.56741776333
"FI",2019,9525.00011415525,5521606,254744159687.5,60828561073.393,36714434608.1314,1.22474892206223,1.49655419230197,153342691359.057,255525230134.19,137669579377.172,803615,9478.78700040029
"FI",2020,8914.20342465753,5529543,249126695922.266,59854958949.3757,35502513855.7783,-2.2051393728223,1.48110202388933,149799614442.91,253280627861.786,132441115631.358,800844,9180.31662129961
"FI",2021,9669.80331050228,5541017,256533803980.078,63123356859.7939,37653370163.3268,2.97322935640895,2.54831154599869,153376122556.875,262184149269.339,135014203399.049,798128,9628.72266187121
