"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday","weighted_temperature"
"FR",2017-01-01,2017,1,1,1,69196.125,14732.8834474886,1,0.987356930313421
"FR",2017-01-02,2017,1,2,2,74294.7916666667,19831.5501141553,0,3.52650712844208
"FR",2017-01-03,2017,1,3,3,78851.5833333333,24388.3417808219,0,2.37451829874894
"FR",2017-01-04,2017,1,4,4,79867.9166666667,25404.6751141553,0,3.53892442111125
"FR",2017-01-05,2017,1,5,5,78665.0833333333,24201.8417808219,0,4.02193255917942
"FR",2017-01-06,2017,1,6,6,81884.0833333333,27420.8417808219,0,0.364989919468717
"FR",2017-01-07,2017,1,7,7,78066.2083333333,23602.9667808219,0,0.12834427470295
"FR",2017-01-08,2017,1,8,1,70771.875,16308.6334474886,0,5.12769086694857
"FR",2017-01-09,2017,1,9,2,75234.4583333333,20771.2167808219,0,5.61591803045909
"FR",2017-01-10,2017,1,10,3,74978.625,20515.3834474886,0,5.9957024433652
"FR",2017-01-11,2017,1,11,4,73055.0416666667,18591.8001141553,0,7.07642747229695
"FR",2017-01-12,2017,1,12,5,71918.875,17455.6334474886,0,7.62100195290185
"FR",2017-01-13,2017,1,13,6,74411,19947.7584474886,0,5.1879489926118
"FR",2017-01-14,2017,1,14,7,70878.2916666667,16415.0501141553,0,3.85101934269416
"FR",2017-01-15,2017,1,15,1,69602.7916666667,15139.5501141553,0,3.3293898643865
"FR",2017-01-16,2017,1,16,2,76663.8333333333,22200.5917808219,0,3.24121272101702
"FR",2017-01-17,2017,1,17,3,81894.3333333333,27431.0917808219,0,-0.270492049185614
"FR",2017-01-18,2017,1,18,4,85369.0833333333,30905.8417808219,0,-0.757534029926001
"FR",2017-01-19,2017,1,19,5,86224.25,31761.0084474886,0,-0.921947087613752
"FR",2017-01-20,2017,1,20,6,85155.625,30692.3834474886,0,0.401184953975893
"FR",2017-01-21,2017,1,21,7,78943.2916666667,24480.0501141553,0,1.2627262864421
