"AICC","p","q","res_ratio"
33480.8904815871,1,1,1.00508008798246
33187.3796052207,2,1,0.988744997503944
33186.8401130299,3,1,0.990391658380713
33174.09986893,4,1,0.986895907455463
33175.3803523525,5,1,0.986351350192069
33177.1820923623,6,1,0.986728004639144
33174.6937393357,7,1,0.985143949762045
33174.8508874916,8,1,0.984828536532541
33176.3433620504,9,1,0.985865605818994
33238.5724954607,10,1,1.00420345267111
33167.6574956758,11,1,0.986522637433452
33071.2784140875,12,1,1.00227289027127
33062.2395698902,13,1,1.0042396871449
33019.9941727988,14,1,0.983820302151799
33030.3140457872,15,1,0.993204113052528
33021.6305637906,16,1,0.98258686932506
33014.2411971983,17,1,0.979661188424423
33014.3161447751,18,1,0.979514674101661
NA,NA,NA,1
33009.4484810889,20,1,0.981290502107553
33008.5798045262,21,1,0.979495574541429
33001.6273756521,22,1,0.98191297848444
32957.3262962882,23,1,0.97990384385989
32836.9169304849,24,1,0.979696128999
32525.0447817006,25,1,1.01633248213719
32512.5893728618,26,1,1.01486333475095
32501.558188315,27,1,1.00747176673775
32502.6455794236,28,1,1.00737774266791
32495.3261875789,29,1,1.00709603413048
32496.8265017698,30,1,1.00791531311944
33473.3890983353,1,2,1.0045715334191
33186.2372351794,2,2,0.990703959086974
33180.8149299361,3,2,0.98970716388694
33182.7345982748,4,2,0.989928690564729
33175.7674534895,5,2,0.987233498165854
33175.5455139409,6,2,0.98636680007411
33175.838998215,7,2,0.987618660604405
33165.6090960498,8,2,0.985978066654574
33166.8584981827,9,2,1.00331327484389
33168.1028187814,10,2,0.984862501031377
33177.6652401989,11,2,1.004927822048
33046.9706685328,12,2,1.00327169236252
33024.6780052214,13,2,1.00284482552662
33020.1426067031,14,2,0.983067309391026
33022.1430442734,15,2,0.983127954712012
NA,NA,NA,1
32913.3816807406,17,2,0.982831895602819
32882.1457492,18,2,0.983499952149197
33018.290269297,19,2,0.979740763531579
33010.6735498805,20,2,0.981974524387815
32966.2333570965,21,2,0.982512449236691
32850.4535313383,22,2,0.975736975134676
32707.6212584375,23,2,0.987601192973077
32691.3578157914,24,2,0.986749375640803
32500.9147860498,25,2,1.01170323398277
32501.076632567,26,2,1.00802913021073
32502.2317168107,27,2,1.0074435437176
NA,NA,NA,1
32498.2908532968,29,2,1.00881548211436
NA,NA,NA,1
33459.0870872651,1,3,1.00380388361541
33174.6887882888,2,3,0.986466926891378
33182.7179352051,3,3,0.989947741883561
33121.6477501183,4,3,0.988710502579166
33067.8190550738,5,3,0.990647820770697
33069.8234569967,6,3,0.990736196393374
33094.1454690932,7,3,0.986032404791351
33251.8211055942,8,3,1.00107488760107
33051.0353789824,9,3,0.989916462032912
33058.6635062856,10,3,0.985702979283649
33031.1516675448,11,3,0.984035830665204
33000.9922872235,12,3,0.987386413702364
33001.4252009551,13,3,0.985254897476175
33022.4622469088,14,3,0.982718284893146
32957.2133039195,15,3,0.994217699373489
32965.6739231855,16,3,0.982642818794221
NA,NA,NA,1
NA,NA,NA,1
NA,NA,NA,1
32878.0790381802,20,3,0.988935669639683
32854.8862491038,21,3,0.973448411627324
32850.9731305703,22,3,0.975953849728834
32707.8117574667,23,3,0.986927855064138
32611.9045389761,24,3,0.988818457834057
32501.9486379329,25,3,1.01057047148232
32504.102746667,26,3,1.01065897752477
32497.6524313822,27,3,1.00723781614836
32499.5163757645,28,3,1.00721724080823
32500.3424864064,29,3,1.00879925553899
32502.4120483375,30,3,1.00825437461852
33434.5274555735,1,4,1.00401609202101
33174.7812119711,2,4,0.985170040600944
33176.3235885054,3,4,0.986816452613699
33118.9443828486,4,4,0.991047459818818
33067.9680626587,5,4,0.98962513491068
33069.1086276617,6,4,0.990430976123835
33083.5124364541,7,4,0.986062822225543
33048.404163501,8,4,0.988331462597684
33050.3020048089,9,4,0.988354008879877
33044.8836436945,10,4,0.987996598736446
33032.8002008282,11,4,0.983845709864448
33002.0887459206,12,4,0.986027588935962
32997.9126096542,13,4,0.986031543813884
32971.1200869328,14,4,0.985355416450107
32967.9683748483,15,4,1.0016705504133
32914.7506516408,16,4,0.997269567368331
32889.1768447171,17,4,0.980126719186382
32875.8936132741,18,4,0.991212790866742
32888.266117942,19,4,0.982125129459912
32851.8584476664,20,4,0.982776921971483
32856.2773158998,21,4,0.974106707416203
32837.663321613,22,4,0.98668869391208
32620.9683038167,23,4,0.997315636066094
32570.7350328261,24,4,0.991571542198494
32503.5517449625,25,4,1.00992272174409
32498.0230927351,26,4,1.00997908089233
32500.252128896,27,4,1.00957934270535
NA,NA,NA,1
32497.7356762368,29,4,1.00858611062843
32498.0292564784,30,4,1.00805098777302
33428.129850697,1,5,1.00415105701338
33176.5031013074,2,5,0.985916437239619
33174.5740420314,3,5,0.98511227435783
33102.6739402216,4,5,0.987482405709169
33070.2240073384,5,5,0.990415418027413
33045.9404531331,6,5,0.989224082184385
33037.9875327431,7,5,0.987981071123808
33038.6305434347,8,5,0.989223060639578
32933.6558616707,9,5,0.987218193990756
32929.611905176,10,5,0.988265787072923
32924.6344269675,11,5,0.988740713063202
32919.7794643684,12,5,0.984167740454933
32944.2419468001,13,5,0.990435282553971
32917.8089770301,14,5,0.983822307353948
32872.5037582363,15,5,0.993860024441943
32905.025805328,16,5,0.986677605958138
32887.6578396396,17,5,0.983129838625188
32852.9903725745,18,5,0.980557950074534
32828.4311487954,19,5,0.989128689458715
32811.659276216,20,5,0.983455500109369
32843.7243251961,21,5,0.977352042543985
32826.5287350658,22,5,0.974426493693809
32815.5222360758,23,5,0.991794625364901
32565.4549729695,24,5,0.992941314572222
32504.204471429,25,5,1.00886850748671
32499.7380765787,26,5,1.01059575807752
NA,NA,NA,1
32503.1156553686,28,5,1.00758589929672
32497.5256313285,29,5,1.00769203814803
32493.9044786603,30,5,1.00893230955219
33428.4936474323,1,6,1.00521992410674
33175.6971136843,2,6,0.982840627120229
33174.8769111665,3,6,0.986943400841389
33088.4183698262,4,6,0.983909182415087
33071.7093032803,5,6,0.991427345433154
32971.453631336,6,6,0.990855726687227
33035.8725004412,7,6,0.987138110245457
32977.8249113242,8,6,0.991240647179181
33023.5727550695,9,6,0.989015857325853
32989.1860435164,10,6,0.987642891272704
32960.6833801828,11,6,0.988585675580885
32897.9133737617,12,6,0.990192065959986
32882.4109630942,13,6,0.992909201673185
32872.2259577757,14,6,0.993966456034482
32871.419500161,15,6,0.995318632183863
32891.3106752029,16,6,0.987348792275199
32855.5526840387,17,6,0.996207778196196
32849.7247214256,18,6,0.99223109194135
32840.2101068571,19,6,0.997438641693437
32783.9320327706,20,6,0.985353998886093
32685.3963824304,21,6,0.981222289811029
32692.1012417318,22,6,0.981925447035799
32642.9391397414,23,6,0.997466619763952
32528.4308233984,24,6,0.999900129386507
32494.6065189501,25,6,1.00532010668247
32496.5364346264,26,6,1.00573352714869
NA,NA,NA,1
32483.5502132728,28,6,1.00971358541573
32482.0555869935,29,6,1.00543212012894
NA,NA,NA,1
33427.2313573862,1,7,1.00495436394935
33385.4258902619,2,7,1.0111595070571
33171.0549472185,3,7,0.982660523556126
33062.5560504403,4,7,0.986756601622722
33047.0792330248,5,7,0.986820714735409
33048.3648512747,6,7,0.986288301028901
33035.1230593652,7,7,0.988772895254842
32904.2265136939,8,7,0.9908737385762
32900.7889482213,9,7,0.99050506564722
32952.3217367047,10,7,0.998048171591662
32957.1741633279,11,7,0.990618615025554
32897.3801629912,12,7,0.98879137065714
32916.285902795,13,7,0.9889837081618
NA,NA,NA,1
32872.628826878,15,7,0.995583299096465
32889.8587329594,16,7,0.986404759166418
32897.7422899889,17,7,1.01179473351305
32829.0382809217,18,7,0.995713898291334
32828.0619970853,19,7,0.998225703994624
32766.8676264183,20,7,0.979144265484776
32681.8194140296,21,7,0.978594394799432
NA,NA,NA,1
32708.4079506401,23,7,0.995346936912059
32512.1771340697,24,7,1.00013774493073
32496.4800099532,25,7,1.00630333233984
32498.6469591722,26,7,1.00567552898635
32500.7812992013,27,7,1.00611206916126
32496.0733699262,28,7,1.007461933854
32498.1189552298,29,7,1.00655242868769
32495.6129677066,30,7,1.00689317667269
33422.0893642522,1,8,1.00568688093639
33259.7991443436,2,8,0.992109856791243
33271.2829578344,3,8,1.0060466186711
33053.7354693378,4,8,0.982804470638047
33047.5586190297,5,8,0.985972966060008
32991.638450336,6,8,0.988711470412272
33015.8320899224,7,8,0.987943855092713
32901.2154353801,8,8,0.990204236314635
32957.1618897006,9,8,0.991505034857183
33032.9935073289,10,8,0.992278951042818
32928.4575850067,11,8,0.996519514535612
32864.1491100162,12,8,0.990780355410263
32821.1130933215,13,8,0.991788825492144
32820.7025655759,14,8,0.992525121380522
32813.2856522701,15,8,0.994962479405412
32812.3987983813,16,8,0.994106001634271
32809.4196012112,17,8,1.0026851145839
32797.9672838809,18,8,0.985808545180153
32805.0902008001,19,8,0.985473131144873
NA,NA,NA,1
32801.1487072604,21,8,0.984893104491828
32651.8966788049,22,8,0.977750544530355
32642.1843533808,23,8,0.977279575712504
32511.1192992234,24,8,1.00009048376451
32456.6818726797,25,8,1.00793637212434
32500.4826032573,26,8,1.00624751096669
NA,NA,NA,1
32483.075160647,28,8,1.0064024623124
32491.5269365796,29,8,1.00499383121938
32497.6713062085,30,8,1.00680214784901
33217.0980809862,1,9,0.988904941269654
33247.0141680506,2,9,0.990380811450109
33101.928703201,3,9,0.992966948385187
33044.238004139,4,9,0.987266466341585
33046.1658364814,5,9,0.990403091525874
32925.2695493283,6,9,0.985766674244342
33000.1863982972,7,9,0.993954885054947
32902.3892666129,8,9,0.991244847649269
32897.5377987791,9,9,1.00338070053036
32892.8065773219,10,9,1.00106134628416
32964.6356574066,11,9,0.992906255820794
32861.3887614733,12,9,0.99433400128984
32817.9924933365,13,9,0.993936786884617
32855.8138074199,14,9,0.986888874836912
32762.1269888213,15,9,0.993860991906009
32817.6782343452,16,9,0.992099155685636
32766.1928142941,17,9,0.99820555619075
32793.7030734315,18,9,0.982417378383933
32784.4244341334,19,9,0.997340753166082
32719.8521480785,20,9,0.989530019864639
32692.9731100318,21,9,0.978340417674524
32614.6403449301,22,9,0.995486389283651
32610.731634406,23,9,0.98269090953885
32511.7256795374,24,9,1.00147183863704
32457.2100364166,25,9,1.00781271806906
32447.0147265349,26,9,1.00701652464247
NA,NA,NA,1
32442.6761777021,28,9,1.00901022600965
32442.1291813977,29,9,1.01020331018774
32443.5801860321,30,9,1.00626141102944
33241.9137431242,1,10,0.992352439953957
33167.9140240267,2,10,0.989014270208889
33087.9685890791,3,10,0.991103458706267
33038.7723540163,4,10,0.98791320618914
33130.1132065292,5,10,0.995369641049357
32997.945828747,6,10,0.987174818229369
32979.1774150127,7,10,0.98833696031913
32966.7078989518,8,10,0.988486899645616
32913.808170752,9,10,0.998513716594307
32878.4067972697,10,10,0.986673892096043
32959.745238828,11,10,0.997037966933715
32872.7984835548,12,10,0.992691222640252
32839.3050121685,13,10,0.992789102323151
32800.4966191641,14,10,0.996339262097862
32749.7878417437,15,10,0.997266017717661
32749.5633427102,16,10,0.996575072715957
