"AICC","p","q","res_ratio"
38508.4920332198,1,1,1.01010060383025
38446.2214442849,1,2,1.00802922828073
38365.9603608818,1,3,1.00818780892861
38364.6191224051,1,4,1.0073291799367
38364.5736042017,1,5,1.00733442123218
38366.2112674593,1,6,1.00763780760727
38202.3415740379,1,7,1.01953704124912
38195.7212389237,1,8,1.02197037103412
38188.242521251,1,9,1.02261031357682
38187.9046327195,1,10,1.0228651579478
38189.9130372736,1,11,1.02283661356154
38190.4493266368,1,12,1.02329795628989
38176.3323644819,1,13,1.02405491451971
38172.6236335161,1,14,1.0247236118072
38174.6325783326,1,15,1.0247307170021
38175.3854484951,1,16,1.02460430546611
38174.3963678439,1,17,1.02462148847133
38147.4041140079,1,18,1.02567762740798
38131.4464182988,1,19,1.02509967453489
38120.0908860516,1,20,1.0287143470094
38114.1047298851,1,21,1.02951187101543
38115.3198179675,1,22,1.02858150352872
38102.7457445374,1,23,1.02808058022817
38104.6660945427,1,24,1.02818794213999
38106.4054212805,1,25,1.02852558963319
38107.2733924293,1,26,1.02886944543784
38108.8301771764,1,27,1.03029248235334
38082.403559839,1,28,1.02640383495355
38073.3101112916,1,29,1.03081269695779
38075.2952176153,1,30,1.03254477955339
38277.4008845455,2,1,1.05597935104208
38240.4708819513,2,2,1.04160766903448
38213.9913324843,2,3,1.03355625132067
38176.6021400091,2,4,1.02583692115104
38176.2852933824,2,5,1.02822688802508
38177.7178138752,2,6,1.0289223420707
38179.7092675703,2,7,1.02887498429281
38180.9042741387,2,8,1.02903875897881
38181.6340488623,2,9,1.02938550817118
38189.8863595462,2,10,1.02281994508588
38191.9452030449,2,11,1.02286239866048
38193.9011936168,2,12,1.02276285134069
38149.0914851858,2,13,1.02629926012328
38174.6313985441,2,14,1.02468089402824
38176.5777050481,2,15,1.02463967361287
38177.044211943,2,16,1.02459178326931
38124.0963970426,2,17,1.05102772177378
38124.8947684548,2,18,1.0227245242583
38126.7886946204,2,19,1.02355248941539
38105.6720806458,2,20,1.03136677458899
38114.9035286421,2,21,1.03112732478169
38116.0367322871,2,22,1.03069885180211
38104.5631908617,2,23,1.02850835505968
38106.4680341086,2,24,1.02823877971252
38108.3860950918,2,25,1.02960902831954
38108.868609057,2,26,1.0299067301589
38075.99119715,2,27,1.02000456988812
38077.0901098293,2,28,1.02722865538964
38075.2955920103,2,29,1.0314401390038
38077.1791561173,2,30,1.03181045378816
38226.7863463949,3,1,1.03554908028952
38206.6697897105,3,2,1.02680484462863
38199.2183968202,3,3,1.02666906850488
38176.8434829693,3,4,1.02734413843093
38177.9391773521,3,5,1.02864591475864
38179.7436071305,3,6,1.02908152098476
38181.7505140847,3,7,1.02895752384768
38133.1019566375,3,8,1.09402736344538
38183.5043963979,3,9,1.02954218481288
38165.6799581121,3,10,1.02335866562409
38193.1103325177,3,11,1.02265370156429
38194.7527465564,3,12,1.02259542748742
38150.920559056,3,13,1.02683777588084
38177.3204810392,3,14,1.0246720458024
38147.7898313081,3,15,1.02677669578004
38149.1736583688,3,16,1.02705175606891
38125.8870140647,3,17,1.05183323472239
38126.8907837708,3,18,1.02298628823683
38127.6608058187,3,19,1.02358334075569
38105.2007650161,3,20,1.03388904175566
38109.4361772147,3,21,1.03085641073123
38075.2181099618,3,22,1.06555633615417
38105.9953836386,3,23,1.02889946166713
38108.2378141638,3,24,1.02882525241671
38096.9179329606,3,25,1.05848091172828
38103.44749426,3,26,1.03306374433368
38079.0106969476,3,27,1.02924363748491
38078.418040398,3,28,1.03274189044277
38077.2357054635,3,29,1.03136646404205
38079.047150597,3,30,1.03140371338618
38337.7217726205,4,1,1.01250578712229
38339.7206383888,4,2,1.01246793136939
38209.1790501246,4,3,1.02667174285185
38178.1786766614,4,4,1.02810877940582
38179.9758263463,4,5,1.02835506436327
38181.8284867716,4,6,1.02877025433901
38183.7558096111,4,7,1.02887215095645
38178.6467914012,4,8,1.02888118606552
38186.8179509052,4,9,1.02884183147957
38167.6493598255,4,10,1.02320488482747
38174.120356214,4,11,1.02474661079522
38176.059859155,4,12,1.02470581491325
38145.7640486734,4,13,1.02677729139487
38147.8024609396,4,14,1.02676961807832
38149.8296121914,4,15,1.02676745307772
38150.5601902042,4,16,1.02611090087151
38099.7822512634,4,17,1.05451972836213
38104.220695683,4,18,1.05383491839575
38101.9340865569,4,19,1.04670812344984
38098.6634106223,4,20,1.04815373391444
38096.4341108482,4,21,1.03637102011998
38094.1976620094,4,22,1.04962496405944
38096.2216629588,4,23,1.04844362221209
38074.0291175712,4,24,1.05444173484515
38099.6535853299,4,25,1.0546526960894
38099.3208991941,4,26,1.05862971741494
38080.9691673909,4,27,1.02813813145888
38079.7858468095,4,28,1.060099249673
38078.8750573863,4,29,1.03090369814151
38081.1045993542,4,30,1.03139400059113
38339.7183978118,5,1,1.01250052835649
38341.5371868887,5,2,1.01226097122625
38184.0608688925,5,3,1.02704495201708
38179.030214106,5,4,1.02934923972022
38181.1798214219,5,5,1.02928447816851
38174.0360474329,5,6,1.02549830459126
38165.3969089932,5,7,1.02911812464044
38176.4342120464,5,8,1.02783937380842
38140.5472048071,5,9,1.09226696086841
38169.9233788978,5,10,1.02298488248931
38168.9405729891,5,11,1.02971279766288
38171.3364508615,5,12,1.02881539668738
38142.2738022748,5,13,1.03093575370482
38149.7792827089,5,14,1.02685221662227
38151.8336630855,5,15,1.02674425341404
38153.8454705212,5,16,1.02684950507222
38101.7197294273,5,17,1.0539063643534
38103.1134402825,5,18,1.05480126942842
38121.1722108638,5,19,1.02035103634826
38100.439686381,5,20,1.04458097869886
38095.2663055851,5,21,1.04381658994488
38096.5147175393,5,22,1.05032318067887
38101.5542954898,5,23,1.03919028100096
38102.6769315662,5,24,1.03617107291809
38089.336596251,5,25,1.02536639653001
38101.2396617056,5,26,1.05943275106147
38103.3613308002,5,27,1.05926952168325
38083.8406839794,5,28,1.03131485220352
38079.6557107761,5,29,1.03059151051256
38082.9570011556,5,30,1.03095529475081
38178.3707992825,6,1,1.03067347487475
38191.489445536,6,2,1.07254714854128
38192.1476001812,6,3,1.02662551152422
38185.968129426,6,4,1.02687152206478
38172.4770824021,6,5,1.02831575783881
38169.0563806919,6,6,1.02935775314795
38158.2485973777,6,7,1.02892328782249
38160.2199566743,6,8,1.02889571243203
38162.1624312976,6,9,1.02925807146011
38158.9433044963,6,10,1.02965947798738
38170.7195144532,6,11,1.02956765108571
38173.0065549645,6,12,1.02987098605698
38100.6934972269,6,13,1.08492764451647
38102.5708594181,6,14,1.07570459527061
38137.1594659224,6,15,1.04361644503787
38137.7421809489,6,16,1.04792128399102
38147.828645837,6,17,1.02669427770426
38104.7718009758,6,18,1.05372909007558
38147.1613776348,6,19,1.02797091221659
38096.7922175003,6,20,1.04852952242256
38096.8071773021,6,21,1.04755473032056
38098.1621315852,6,22,1.0476061333904
38094.4021666045,6,23,1.03746360774918
38090.7064727588,6,24,1.05076398650378
38064.233838857,6,25,1.07214963177139
38063.3541217733,6,26,1.0646653967107
38068.4518796351,6,27,1.06140476274049
38063.0277805806,6,28,1.04050052571902
38074.4801225561,6,29,1.05910899520042
38076.1681416184,6,30,1.04566254210755
38180.0630196095,7,1,1.03018684507644
38163.3569561976,7,2,1.0357613833259
38184.1641991707,7,3,1.03038173522664
38184.1578520738,7,4,1.03007386983285
38174.1669618634,7,5,1.03142891261789
38159.1073169566,7,7,1.02944681652231
38167.2963272258,7,8,1.02747533972355
38163.6867974893,7,9,1.02851064649795
38165.7448036552,7,10,1.02857461682538
38160.3318632639,7,11,1.03012269507413
38155.7164995778,7,12,1.02926296324444
38136.1084199473,7,13,1.03450133338769
38137.662112959,7,14,1.04072642569588
38141.1611339398,7,15,1.04342975086556
38135.4687557919,7,16,1.04222488866535
38132.3590100163,7,17,1.04027631916396
38099.7724950566,7,18,1.04732576937691
38098.8722199411,7,19,1.05188333290555
38100.643396479,7,20,1.04998634074424
38098.8790379717,7,21,1.04464649318338
38101.6702607069,7,22,1.04746851370338
38093.6696566396,7,23,1.03901278382515
38091.9617131032,7,24,1.04643169661769
38065.1772753976,7,25,1.06559514229398
38069.751083255,7,26,1.06141226938259
38072.8024363108,7,27,1.05358930645326
38063.670115059,7,28,1.03307316231793
38082.5706377267,7,29,1.03591256423768
38078.2450894005,7,30,1.05601149260263
38201.5350092534,8,1,1.06834329995953
38183.9210554298,8,2,1.02983947358852
38186.2090497463,8,3,1.03017060145441
38197.5160283133,8,4,1.07440179008959
38167.9964567123,8,5,1.02880290974954
38170.3761346167,8,6,1.02998863121026
38170.6407934184,8,7,1.02807359595167
38171.5398986064,8,8,1.02582737735094
38153.9849259235,8,9,1.02769701074628
38156.6310900547,8,10,1.02991025627014
38163.187758369,8,11,1.02963953487682
38146.2148982637,8,12,1.03378794284296
38116.0561940512,8,13,1.02400854222769
38116.07304726,8,14,1.01844579067094
38106.9202438828,8,15,1.06409268105926
38133.6609543107,8,16,1.03344067958486
38136.4045538633,8,17,1.04406820615377
38100.8952310172,8,18,1.05093021218024
38101.9744914375,8,19,1.05044564070798
38096.8942369983,8,20,1.04496611243639
38089.5036446784,8,21,1.03825285685865
38090.1887937078,8,22,1.05731169348021
38089.3292010396,8,23,1.05121616728664
38093.5212519467,8,24,1.04495870996587
38089.4842499328,8,25,1.0569077010159
38073.6362533664,8,26,1.05958844537817
38094.826240496,8,27,1.01842112531157
38064.7204895153,8,28,1.05811450227894
38077.4077866172,8,29,1.05594094829
38077.1896686522,8,30,1.06246828714576
38201.9690770775,9,1,1.06708540947712
38205.4741810669,9,2,1.06808442172725
38196.1876307289,9,3,1.0752802679554
38183.0317338857,9,4,1.03060971795257
38169.822309794,9,5,1.02803775466277
38168.0397705675,9,6,1.02821485727427
38173.4753493502,9,7,1.02851100666227
38170.3660623143,9,8,1.02699365278598
38162.8467307243,9,9,1.03199455813707
38174.0669772497,9,10,1.02502700311543
38181.6614435376,9,11,1.03194642122691
38148.1558106925,9,12,1.03019073976969
38144.6571861757,9,13,1.03237511724124
38120.2299028328,9,14,1.02497994240663
38123.4612668481,9,15,1.015664745721
38131.0481242788,9,16,1.04332221405113
38124.2880114163,9,17,1.0376144743359
38100.8009809191,9,18,1.05763939952601
38096.632145301,9,19,1.05336065047508
38099.0219820062,9,20,1.04875023320234
38096.0782418158,9,21,1.04685207466631
38099.3870939435,9,22,1.0576802598665
38090.0800338425,9,23,1.0550492417946
38092.4280816387,9,24,1.0496746876356
38087.8789529257,9,25,1.03237918525759
38090.3185201089,9,26,1.05388248272222
38079.4181229289,9,27,1.0614420312198
38090.7071010723,9,28,1.04010234380856
38078.533773226,9,29,1.04365438086118
38081.6319415204,9,30,1.03316351405853
38199.8748348486,10,1,1.06822108683815
38205.8657519278,10,2,1.06720594677255
38200.3230035645,10,3,1.06789853307314
38180.5987439872,10,4,1.02896097797419
38156.3577044843,10,5,1.03181328811808
38166.5771021208,10,6,1.03221557078735
38175.4831744947,10,7,1.02855617514534
38173.4403289691,10,8,1.02633610886763
38144.768116602,10,9,1.03571151268829
38138.6040457525,10,10,1.0332271550779
38140.9989536292,10,11,1.03289864027058
38152.2976983054,10,12,1.03527502276657
38178.5467680845,10,13,1.05686771410225
38146.4016335808,10,14,1.03042102887008
38108.7423309557,10,15,1.03530603999958
38119.0666521271,10,16,1.02223342881181
38105.3511940059,10,17,1.0826997131691
38101.6900359641,10,18,1.05548882514955
38098.1209597841,10,19,1.05923803621487
38098.2117776203,10,20,1.05936150193676
38092.5372596271,10,21,1.05463486016515
38100.0847116974,10,22,1.05874815224758
38095.3227424131,10,23,1.05928227848119
38086.9868399432,10,24,1.05577580888055
38090.4451237523,10,25,1.04631006842637
38076.5074375097,10,26,1.04344479245358
38077.3522177182,10,27,1.06240826346376
38079.9481009135,10,28,1.05605967313447
38081.5829956428,10,29,1.05808048580683
38079.6847653929,10,30,1.06728789546568
38197.2196709484,11,1,1.06920975690664
38185.84529439,11,2,1.05608850783094
38200.8407721303,11,3,1.06708531104418
38205.9962322427,11,4,1.06792042253512
38156.4516611264,11,5,1.02957745250555
38163.8116194672,11,6,1.02852316486965
38166.1994474791,11,7,1.02928503844276
38176.5875101725,11,8,1.0251402263557
38143.6045563084,11,9,1.03146560981024
38140.6583416622,11,11,1.02783523247985
38173.322007879,11,12,1.06084279468471
38127.942080121,11,13,1.01939972384779
38098.2662135387,11,14,1.09982517928954
38098.7885206439,11,15,1.09243682319498
38106.1348403661,11,16,1.08372769629202
38119.7703386524,11,17,1.02809190141512
38103.4693923384,11,18,1.05706303581756
38097.8607799236,11,19,1.05580306366431
38099.8307610094,11,20,1.05338018976681
38102.156966907,11,21,1.04813221723297
38103.5574790889,11,22,1.05280883439306
38102.7445357242,11,23,1.05995902937021
38101.7068746668,11,24,1.0587877507888
38100.8472251632,11,25,1.05843722506704
38078.0069097591,11,26,1.05384657965406
38082.8644741938,11,27,1.04808311676285
38081.7129808771,11,28,1.05510847606097
38077.5613444398,11,29,1.06795933024563
38070.4917901177,11,30,1.05728252028745
38197.5061074802,12,1,1.06983298483573
38200.7818837649,12,2,1.06936728921785
38189.6764307398,12,3,1.05770922333544
38178.7808803858,12,4,1.08420880408611
38163.8458467127,12,5,1.06956392662196
38159.8544493273,12,6,1.07553120967348
38166.7848831755,12,7,1.0700467465735
38167.2279827565,12,8,1.07975101774625
38166.1681181619,12,9,1.07625386097795
38146.133286836,12,10,1.02838926901447
38136.416343219,12,11,1.03394076266789
38171.8606407173,12,12,1.05989261036185
38132.2155754902,12,13,1.03837154333131
38150.1477794312,12,14,1.0319510022486
38123.8156573372,12,15,1.03222673938206
38114.4575528605,12,16,1.04771393016696
38116.0229141317,12,17,1.04150726086479
38105.6955328101,12,18,1.05850064764266
38099.6222516385,12,19,1.05476431200559
38103.6073096234,12,20,1.05845882932309
38101.9665832676,12,21,1.05957142364975
38103.2387874523,12,22,1.0567436804633
38104.274887183,12,23,1.05738366353769
38106.2680870543,12,24,1.05864837547503
38104.2024256048,12,25,1.04957555574373
38082.1903845918,12,26,1.02720652207859
38080.4941950554,12,27,1.06141658322616
38084.4554516952,12,28,1.06221662162454
38076.6645397374,12,29,1.05494319516265
38070.0183616697,12,30,1.03816487384254
38199.2569976927,13,1,1.07008195128529
38201.3218370869,13,2,1.06956516379087
38195.3157090237,13,3,1.06945817004647
38186.8818174991,13,4,1.06565771663589
38179.7512194978,13,5,1.06949169617735
38176.2132474286,13,6,1.07023287788367
