"AICC","p","q","res_ratio"
43112.8066641451,1,1,1.07441084308345
42944.0025685719,2,1,1.04751009285179
42945.6833833432,3,1,1.04410784254146
42947.6851354487,4,1,1.04213366560342
42949.6597786869,5,1,1.04213920348105
42780.0097221683,6,1,1.0919370747554
42942.8951590685,7,1,1.06765850773848
42944.8025068767,8,1,1.06851182746778
42946.1338111151,9,1,1.06740845341428
42722.4525587207,10,1,1.12369682085629
42719.8474761054,11,1,1.13673963527532
42718.3773569922,12,1,1.14672185023165
42715.9974645151,13,1,1.15973274083264
42710.5727690668,14,1,1.17604396711403
42699.5836252044,15,1,1.19514538470922
42688.4320243261,16,1,1.21185293456554
42686.7958740623,17,1,1.21067275243002
42679.0163943336,18,1,1.22088763596471
42679.5945152099,19,1,1.21159654117118
42680.4913259714,20,1,1.21096775174148
42682.6871190568,21,1,1.21030656574425
42668.0104078774,22,1,1.22701722179704
42669.7219401674,23,1,1.26358553166402
42614.1978397318,24,1,1.29422808698708
42591.4151665124,25,1,1.2629382435554
42591.7393242558,26,1,1.26791383820458
42590.9195372587,27,1,1.27107831375174
42555.2713109155,28,1,1.26929686502047
NA,NA,NA,1
42555.3195066695,30,1,1.26281588974117
43033.9065925392,1,2,1.06323656829103
42945.86725682,2,2,1.0452226628933
42947.9211332682,3,2,1.04698090851504
42949.5492820746,4,2,1.04248137211149
42910.464311413,5,2,1.07034934952487
42755.6206861019,6,2,1.12467586758679
42909.1258217979,7,2,1.06186937419866
42901.8087672316,8,2,1.09575166839506
42903.6348629768,9,2,1.09825443086394
42699.66392155,10,2,1.26097831332867
42717.7872345796,11,2,1.13642821659778
42716.9675451847,12,2,1.14532762530813
42713.1247726389,13,2,1.15781238082287
42712.8911450249,14,2,1.1688888615281
42702.1954862317,15,2,1.18790006990181
42689.783604131,16,2,1.21614125158096
42675.4863575944,17,2,1.22264112604857
42673.521533285,18,2,1.21118332816354
42651.2900135405,19,2,1.24971949166032
42652.0528628791,20,2,1.25311384593124
42651.6996595843,21,2,1.25132091827785
42650.3829456594,22,2,1.24221009442789
42608.4027209234,23,2,1.22736863029524
42595.5356778383,24,2,1.28960170868537
42587.553561571,25,2,1.2647521739454
42585.8091815095,26,2,1.27092894705945
NA,NA,NA,1
NA,NA,NA,1
42559.1612845008,29,2,1.27107891324319
42548.9874415714,30,2,1.29196247927453
42992.2130157474,1,3,1.0676330702253
42798.6451439415,2,3,1.09473723001417
42949.8822668073,3,3,1.04500986036286
42944.6676187233,4,3,1.04888333164137
42792.2906569073,5,3,1.10046021235853
42666.936888721,6,3,1.11871909369042
42911.1434830852,7,3,1.06209141402876
42744.0102438357,8,3,1.1308069263369
42746.0479846462,9,3,1.12792348528452
42701.7824675842,10,3,1.25954293640117
42703.700097882,11,3,1.26146501937499
42709.3986323042,12,3,1.13822539578491
42726.8488085314,13,3,1.13924828001556
42706.8009989959,14,3,1.15675605887886
42700.2636441599,15,3,1.16700671121368
42672.0643428252,16,3,1.28589749217576
42651.6838754497,17,3,1.23252427655672
42665.4108568397,18,3,1.22333481395882
42650.4537469337,19,3,1.25102106497445
42652.1893063824,20,3,1.24893948049603
42644.2589515123,21,3,1.22748212817653
42652.3747149051,22,3,1.24184359115133
42617.0818552523,23,3,1.26320720168456
42585.0984190965,24,3,1.27132432459571
42584.7931746964,25,3,1.25962159573179
42557.1057969818,26,3,1.28993659147595
NA,NA,NA,1
NA,NA,NA,1
42535.3168634908,29,3,1.2622690473715
42562.9359819254,30,3,1.2711951515144
42987.393785657,1,4,1.06961146640948
42785.0284824274,2,4,1.09212958724715
42786.9908728555,3,4,1.09277925412382
42785.8987555133,4,4,1.10431950110016
42788.2920191229,5,4,1.10268082501737
42766.6358614163,6,4,1.11338874035712
42785.5336473002,7,4,1.11313064387169
42746.3438585257,8,4,1.13367937284545
42742.506453753,9,4,1.14106345103709
42681.9558683809,10,4,1.27968195277356
42706.7560369454,11,4,1.26440560319214
42690.728471398,12,4,1.26568269105001
42690.1551642904,13,4,1.15269558491862
42684.1670907461,14,4,1.17715484221564
42678.9088048804,15,4,1.19289130763196
42636.8106544224,16,4,1.31104238776951
42636.8624837615,17,4,1.31173301719137
42646.3540114018,18,4,1.23709623311956
42642.8258508464,19,4,1.25339587466192
NA,NA,NA,1
42621.9645404632,21,4,1.22105340519134
42592.251073749,22,4,1.25755623765971
NA,NA,NA,1
42582.7316700559,24,4,1.25302573565649
42588.0383590916,25,4,1.26106785083315
42556.260458499,26,4,1.24036792577352
NA,NA,NA,1
42553.8646230513,28,4,1.27908260248237
NA,NA,NA,1
42520.0525511001,30,4,1.27157700326562
42795.5194028418,1,5,1.09178124970781
42786.9290346583,2,5,1.09312333261724
42789.005586364,3,5,1.09232357809108
42788.0661322881,4,5,1.10146634757682
42789.928438808,5,5,1.10494327695802
42791.916835826,6,5,1.10403641146098
42773.5381755097,7,5,1.10298425379982
42752.881441436,8,5,1.12404689907771
42756.3502230565,9,5,1.13020224622891
42773.0098700471,10,5,1.09996247042716
42677.1957200713,11,5,1.28981483500436
42667.5187368321,12,5,1.28852366036052
42661.6984662873,13,5,1.30169980041037
42701.4093087263,14,5,1.11819932974432
NA,NA,NA,1
42637.0973377651,16,5,1.31167940533478
42627.0609727472,17,5,1.32234311152191
42661.5223658886,18,5,1.28903338853735
42629.38888152,19,5,1.318766848027
42630.0456621002,20,5,1.31210938858657
42627.7213819863,21,5,1.29823472573257
42629.2260604359,22,5,1.29520327991555
42635.4941156754,23,5,1.30151637987446
42583.4615276431,24,5,1.25972441632589
