"AICC","p","q","res_ratio"
40369.1775119799,1,1,1.00159653478239
40290.9665765722,1,2,0.993956741265258
40256.1752341252,1,3,0.990440028577613
40189.0337712305,1,4,0.987315103627689
40179.8382460995,1,5,0.986447190477172
40029.8416217099,1,6,0.978002993091584
39975.0554101264,1,7,0.977728874599128
39961.7470958855,1,8,0.978001569192347
39962.7787354942,1,9,0.978269539326068
39963.6860420935,1,10,0.97766355341576
39926.641283662,1,11,0.976512998851886
39915.4211585197,1,12,0.978038117830617
39903.1226468859,1,13,0.986823482549125
39903.4173540408,1,14,0.981578710268451
39904.3765311717,1,15,0.983551813922147
39905.250168371,1,16,0.981776103481744
39893.0121642822,1,17,0.97594601884484
39863.6805533505,1,18,0.971764905527746
39834.863928743,1,19,0.970251777605831
39833.4078449826,1,20,0.96795623400137
39831.165154408,1,21,0.96666173260685
39840.5924961818,1,22,0.97472447834509
39791.1862772441,1,23,0.984672163026776
39793.0205086489,1,24,0.984407329950078
39791.5378214503,1,25,0.984758181952734
39792.3745220794,1,26,0.990751530853499
39794.2178862391,1,27,0.993115881781306
39796.254969666,1,28,0.992659192226961
39797.962911173,1,29,0.991053485430954
39793.6119300979,1,30,0.995809957112724
40098.6455486168,2,1,1.0162430249401
40014.4181019136,2,2,0.955179542158021
39988.3947342757,2,3,0.96020559855888
39978.1938003313,2,4,0.96428551130261
39947.1748465935,2,5,0.973265256583052
39948.9611718957,2,6,0.972259092723798
39949.3521699059,2,7,0.968993011782242
39949.2017421836,2,8,0.967010914580042
39950.1981332676,2,9,0.966700495617854
39927.3271307024,2,10,0.965274942423203
39906.2316711466,2,11,0.98067283740493
39907.5340921966,2,12,0.977148913727453
39909.557599304,2,13,0.9769838075972
39910.1812200763,2,14,0.986501908696451
39857.4722740035,2,15,1.01849366093928
39847.3062093424,2,16,1.01247576680045
39849.3354949272,2,17,1.01249160929746
39840.6666446499,2,18,1.01019097862689
39827.8428417312,2,19,0.998963283056693
39825.9017243853,2,20,1.00552409667939
39815.0755810078,2,21,0.967396594289894
39827.706596229,2,22,1.05503930295348
39790.0609486136,2,23,0.983627080115348
39794.903154081,2,24,0.981077040462924
39777.9655238351,2,25,1.0065337049708
39780.007671955,2,26,1.00680841658554
39775.8597562168,2,27,1.02309661528822
39776.5212616794,2,28,1.03603112253781
39766.0111497596,2,29,1.04862663727559
39766.3949260205,2,30,1.04262724197233
39996.5872357679,3,1,0.959235329654796
40102.6435665922,3,2,1.01616448494435
39971.0868950467,3,3,0.972730996979286
39991.8068762565,3,4,0.959901388471408
39949.0449468379,3,5,0.972652172604397
39951.1745064705,3,6,0.973390092550577
39950.2152820859,3,7,0.967825281428836
39953.2701143079,3,8,0.968432292865667
39950.2122118083,3,9,0.966781027095596
39912.7338824263,3,10,0.989623793886598
39907.5582555087,3,11,0.977670907945276
39909.052904712,3,12,0.97863481851514
39902.1489948255,3,13,0.975470356421955
39903.7036144795,3,14,0.979144800227312
39850.7341023503,3,15,1.01529190578594
39837.7381057946,3,16,1.01817697882336
39835.5013502074,3,17,1.01477099246252
39835.6985614569,3,18,1.00903515427522
39807.326900379,3,19,1.00655539050885
39808.3320659859,3,20,1.00370266314433
39810.368960879,3,21,1.00328158273399
39810.6761152526,3,22,1.04735063341781
39812.6727364876,3,23,1.0493044453357
39789.8801519789,3,24,1.02039618046936
39780.0239573148,3,25,1.0086796213308
39779.6821502139,3,26,1.00991472327595
39778.8876494705,3,27,1.00357419695758
39767.3840554055,3,28,1.03557747043516
39765.6138524322,3,29,1.032912446723
39766.2637946526,3,30,1.02578149708197
39973.0201256115,4,1,0.968422320888666
39982.6732754879,4,2,0.962875210875144
39971.8784488733,4,3,0.973258971271358
39967.4273030933,4,4,0.972593550979806
39950.4246261073,4,5,0.971927346323554
39952.3806686797,4,6,0.971510782203198
39952.177260139,4,7,0.971984331644151
39954.1415356238,4,8,0.967391600288777
39935.4404896241,4,9,0.97919691416495
39925.2603741312,4,10,0.978682086712231
39873.0303666214,4,11,0.98436278803828
39870.3501377215,4,12,0.977061353129807
39846.0540633965,4,13,0.99751312630091
39893.445935936,4,14,0.981192229053073
39871.4362738032,4,15,0.98500470366554
39835.5759602776,4,16,1.01490551168394
39829.5948184515,4,17,1.01262306351525
39815.260022605,4,18,1.00751851018681
39808.4459535875,4,19,1.00335484071348
39810.3726878129,4,20,1.00345468340806
39812.3196004657,4,21,1.00593214942787
39810.0749408354,4,22,1.03183520671517
39813.4576210145,4,23,1.0394547408506
39790.7843434766,4,24,1.03265059266436
39760.4458783066,4,25,1.05829397213273
39762.4720877999,4,26,1.05417456621984
39779.3099881957,4,27,0.982138820599642
