"AICC","p","q","res_ratio"
36575.3347206994,1,1,1.04129773245741
36576.3419184049,1,2,1.04000630583082
36570.0617578511,1,3,1.03923781175815
36564.4310642842,1,4,1.03571702256213
36563.841913238,1,5,1.03566705678138
36555.7223867924,1,6,1.04329598088362
36297.4340932899,1,7,1.03481999657456
36257.8151171472,1,8,1.0555153097678
36229.3838037646,1,9,1.05324632998582
36210.4968795128,1,10,1.04623016024077
36211.2061167829,1,11,1.04771413093787
36196.9460141731,1,12,1.12046615266045
36185.4671500424,1,13,1.04218003585416
36187.3112506085,1,14,1.04276933699527
36184.8408584929,1,15,1.04709466862679
36173.8794447692,1,16,1.13643604567777
36117.0109926716,1,17,1.06230573842719
36095.0235707193,1,18,1.12031182602492
36091.8839864058,1,19,1.12487309926892
36068.7412064263,1,20,1.10284268348154
36057.3749768723,1,21,1.15359766751333
36016.0407291928,1,22,1.12487306760783
35647.4429942822,1,23,1.12841782665673
35578.7141800277,1,24,1.05640170943594
35572.4231338146,1,25,1.05580595667774
35571.8954337132,1,26,1.05454188849745
35563.9914737997,1,27,1.04377338582261
35543.7532735831,1,28,1.04753398704283
35541.1568962658,1,29,1.04799578445191
35541.1075929394,1,30,1.04909487867169
36280.0888375955,2,1,1.10227152107307
36579.2999796264,2,2,1.04105015600179
36237.3953266041,2,3,1.11173916458519
36414.9736466,2,4,1.03202746821287
36403.8224982918,2,5,1.03427414301125
36464.6525578459,2,6,1.02774403426103
36214.0481975611,2,7,1.09972059997619
36214.142341142,2,8,1.0990341669332
36209.997153564,2,9,1.1105382350807
36211.3610720716,2,10,1.04920044839075
36213.6156262046,2,11,1.04971616571441
36177.8290091395,2,12,1.1051009957584
36126.3586016671,2,13,1.08586035880337
36189.467215042,2,14,1.04237183516618
36054.1885732755,2,15,1.07290575535518
36131.6190501408,2,16,1.03545065099401
36026.8327815047,2,17,1.12762996007762
36089.6664272121,2,18,1.12698636909927
35959.3846353217,2,19,1.13917436573113
36066.1237150081,2,20,1.09873105424497
35899.5936992917,2,21,1.1363001172459
35936.4220083638,2,22,1.10244500755836
35630.2690073802,2,23,1.11341898739729
35568.7612015308,2,24,1.05331735873228
35511.832838071,2,25,1.06051891286185
35513.6565510264,2,26,1.05979724329181
35571.8693446983,2,27,1.05362951796379
35517.2894004315,2,28,1.05418474967565
35543.8487010138,2,29,1.04785826019556
35545.1137804731,2,30,1.04793973589193
36572.3913004177,3,1,1.03749488040166
36279.6351262857,3,2,1.10297556791316
36239.4331692062,3,3,1.11105368172245
36222.2763731514,3,4,1.11449559628192
36404.8952441111,3,5,1.03200819713234
36464.90082266,3,6,1.02226281396965
36194.1309032062,3,7,1.08325176292634
36203.7928178039,3,8,1.09958182933575
36187.3710071551,3,9,1.05283022319703
36089.5831111827,3,10,1.04585693338281
36111.4760432717,3,11,1.05624267062187
36177.7342123631,3,12,1.1019481695903
36111.6885043503,3,13,1.0826294396259
36091.3868402056,3,14,1.08563574306018
36050.8937345826,3,15,1.07643907301697
36037.0050530913,3,16,1.12172084817962
36017.8660974583,3,17,1.12319292617451
36018.8604948991,3,18,1.11742627651523
35963.5968236188,3,19,1.10579135693261
35879.0898715773,3,20,1.05547021338764
35886.8600266336,3,21,1.14245418813759
35884.4951325271,3,22,1.11639310345566
35622.2811600628,3,23,1.10525725092899
35566.2355190032,3,24,1.05174906997851
35513.6630540662,3,25,1.05949954014782
35506.2461614616,3,26,1.05929505050176
35570.6940196881,3,27,1.06566647742252
35482.93421087,3,28,1.04008388615488
35519.9394362037,3,29,1.05145976556641
35503.9913097056,3,30,1.04440724316815
36236.0905064185,4,1,1.1139552445678
36238.0045700613,4,2,1.11135459768535
36181.015090816,4,3,1.1193012818512
36151.4909885339,4,4,1.09074954820663
36141.7528412159,4,5,1.11465270600735
36280.3164208441,4,6,1.04346407642922
36102.1461406593,4,7,1.10904921427871
36102.1133310273,4,8,1.10358853778419
36098.8233224424,4,9,1.10264410858536
36198.9173021482,4,10,1.04440129427157
36102.381731527,4,11,1.05637598154628
36179.7302585386,4,12,1.1011866638756
36115.7367485443,4,13,1.07785927253654
36040.6974359933,4,14,1.05358856980062
35971.7071518522,4,15,1.09269549974563
36032.9083817835,4,16,1.11250741965631
36018.2250148445,4,17,1.11759155261109
35897.2578841248,4,18,1.10150778185764
35893.9389672874,4,19,1.11079293970634
35871.837079912,4,20,1.08767353939563
35737.3464603525,4,21,1.1332023772889
35851.4916040492,4,22,1.10696686067686
35608.2472818421,4,23,1.10563597918529
35550.7538241938,4,24,1.03805463041244
35517.1073743764,4,25,1.0323669444221
35517.5797296453,4,26,1.06146527123475
35482.4933110915,4,27,1.05452019416274
35456.1923051438,4,28,1.06324236955471
35438.9811791283,4,29,1.04407135051395
35430.016241852,4,30,1.05328642865181
36237.9701669402,5,1,1.11174241334865
36224.1900458788,5,2,1.11633336163294
36243.178832844,5,3,1.10071020016892
36175.3177150532,5,4,1.09585500956133
36160.6390470277,5,5,1.09321325501367
36358.4742753401,5,6,1.03034369640028
36175.2300462338,5,7,1.07413182334088
36163.045311978,5,8,1.11659830424262
36066.8590318755,5,9,1.08375132283528
36140.1105500901,5,10,1.07850808123363
36064.9200429071,5,11,1.09465556958921
36026.6781278116,5,12,1.06425236262232
36041.338598963,5,13,1.11207380237307
36004.6526682803,5,14,1.11380415765302
35970.8104480971,5,15,1.06120943876941
35966.6578509869,5,16,1.09221213253942
35960.2344083476,5,17,1.07654676061612
35939.2152359852,5,18,1.12085119375654
35887.4077898147,5,19,1.10748504700775
35873.8654118976,5,20,1.0878360588456
35873.7596180811,5,21,1.0897763459892
35826.6717115004,5,22,1.16107460881483
35607.8533670485,5,23,1.1034330391815
35537.5255337241,5,24,1.02604644449509
35517.4880764416,5,25,1.03302338568466
35511.1911202673,5,26,1.03191137581085
35466.338758048,5,27,1.04256144434076
35488.2735147207,5,28,1.08239353480177
35505.8314641264,5,29,1.05864101942031
35451.9145614515,5,30,1.21729805585069
36239.7096412964,6,1,1.1083896129574
36241.880196912,6,2,1.11062056137461
36131.6196923047,6,3,1.12239358837027
36160.8858997483,6,4,1.09297025388199
36071.8403550059,6,5,1.10767292778667
36139.177340382,6,6,1.08152130490053
36078.8585834261,6,7,1.13222368101407
36101.8765941567,6,8,1.13709856865522
36096.6102976497,6,9,1.09016921930915
36036.6330393938,6,10,1.11127392828575
36052.73442056,6,11,1.13071219621571
35964.6965473433,6,12,1.11680816431726
35949.5094549285,6,13,1.11950752921295
35934.7128650862,6,14,1.11836385839039
35874.1636345217,6,15,1.10854627735016
35956.4738202838,6,16,1.05458545529823
