"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"GB",2010,32989.9981733075,62766365,2660406373660.76,500062962830.585,253093030780.069,2.43007289502704,1.43351938337761,1881352196902.96,2618908022706.84,1608021422991.26,11736055,32318.9061808727
"GB",2011,35093.7724626099,63258810,2688809162463.69,492618185100.533,250752981937.703,1.06761091403658,2.12421156255054,1889838080686.36,2644334581342.87,1609623169917.83,11658599,36211.0189982057
"GB",2012,35164.9683479449,63700215,2727755400457.14,498012020322.295,253406742998.421,1.44845675688505,1.47630051250903,1922617127031.65,2651666009264.17,1754901210459.54,11569870,34898.7036617305
"GB",2013,34876.0371046923,64128273,2777396821941.01,515760459292.194,264879447411.13,1.81986337468368,2.17128685858923,1945569048122.96,2692153648172.42,1804296700790.21,11477678,34232.1446283964
"GB",2014,33161.9326407124,64602298,2866265260991.21,520813221303.614,267958374664.754,3.19970262614801,1.27779694526409,2013629867728.35,2794552367829.64,1848597904349.37,11392615,34076.7303955979
"GB",2015,32214.0243178445,65116219,2934857946213.47,528093174769.621,270580128808.062,2.393103183986,0.712571162002718,2071171589502.38,2871047254146.38,1904227872799.74,11313292,31897.2555190491
"GB",2016,42809.7234836066,65611593,2998403672734.88,524232258551.01,270392454680.113,2.16520621052183,1.87860951820822,2131048069465.07,2926342490558.51,1930424553870.26,11228768,41533.3774643961
"GB",2017,35335.0324771689,66058859,3071671779449.63,544370338577.221,275684799175.921,2.44357046987986,1.79116422658598,2178039704015.17,3022747227939.04,1984001114109.2,11135542,36811.8961626496
"GB",2018,35689.6789383562,66460344,3124044429026.19,554844747958.084,275813586886.812,1.70502102232903,1.73785288253913,2215576404159.79,3065525262317.51,2028864840618.96,11033746,36322.1816638033
"GB",2019,34910.7679223744,66836327,3174163743964.48,560691670926.452,276377329566.25,1.60430864787399,2.1134137816924,2256509328210.94,3162755609250.62,2046297264619.45,10926403,33908.7094676691
"GB",2020,32714.4073059361,67081000,2824026234231.55,479846205354.68,246210112978.407,-11.0308584551979,5.93314681453445,2050210591612.05,2765299251558.39,1811815854226.18,10798029,32749.4190321839
"GB",2021,16678.9743150685,67326569,3036531677286.59,530947409729.674,266546693681.785,7.52491037367686,0.369254420891068,2170043526018.44,3020765808707.31,1940851357408.51,10669915,14036.8254021492
