"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"GR",2006,6118.67793127069,11020362,257537613577.613,51474668642.4302,21783099455.9295,5.65243362169147,3.49504250996392,168485010402.471,247180548179.387,174959153663.172,2774156,6122.55780905288
"GR",2007,6307.66377440347,11048473,265968743229.289,47870006694.7708,22511304847.4207,3.27374690421107,3.42266698622969,178670695041.906,253948767648.417,185847836205.329,2740132,6301.54754004604
"GR",2008,6337.95309119891,11077841,265077289564.136,41510515232.6283,22541554057.9239,-0.335172341805816,4.34458291500918,185266182273.352,251200164707.394,183219436277.893,2706538,6340.70398000401
"GR",2009,5985.97796552118,11107017,253677021313.194,38846756107.2427,19379653098.3269,-4.30073367269142,2.56977086948842,180862684401.367,242786994740.879,175642458972.211,2673237,5985.84399379931
"GR",2010,5973.94816759904,11121341,239780041723.274,35730157114.5287,18831189023.3191,-5.47821774237963,-0.177048202077941,168645789107.851,231001724407.376,165435762077.306,2636648,5967.06958858489
"GR",2011,5878.29649503368,11104899,215444010389.589,30974639167.8779,17173255005.996,-10.1493148298685,0.959017980521224,151133386296.509,205215006078.712,146490653620.947,2593105,5902.94551106042
"GR",2012,5725.33416827963,11045011,200176146628.861,29635630977.5543,15599667639.1369,-7.08669678638024,-0.275142403452051,140030408597.879,196647634901.144,136714039134.294,2539911,5712.19027836778
"GR",2013,5302.67279369791,10965211,195139720340.78,29387938145.4585,14858251063.7986,-2.51599722189651,-2.04562420707737,137001823012.191,191048267291.156,134795210021.29,2483072,5251.19888520208
"GR",2014,5224.67210868821,10892413,196067992081.695,27684149107.2409,14966891961.0233,0.475695947137041,-1.9387546208597,138408950656.978,194316781315.648,136844375429.572,2428790,5284.76625472187
"GR",2015,5858.49699560897,10820883,195683527003.375,28372790945.3653,16230758960.9082,-0.196087629724133,-0.293730433148639,136966238630.818,195524237566.206,137404085680.899,2375617,5820.96899383582
"GR",2016,5830.2316712204,10775971,194730209118.466,28298230083.6616,15772823021.7014,-0.487173294301954,-0.5785807515839,134703133177.39,194614726578.758,135780256856.87,2329011,5870.71434446995
"GR",2017,5888.86335616438,10754679,196856953384.064,27025888518.9181,15961228371.6015,1.09214912017283,0.285406259345564,137135802947.229,196069067199.686,132401882737.028,2288166,5881.26559881573
"GR",2018,5847.44748858447,10732882,200141371166.33,27276143185.6789,16356635962.3493,1.66842863602514,-0.165244042297104,138897385801.174,196391913260.6,136361446206.469,2247680,5860.06621167496
"GR",2019,5899.90684931507,10721582,203912718651.88,27229184722.7241,15929966141.1853,1.8843417847952,0.224149497893734,141667122683.952,200051415189.697,137384467384.753,2209932,5878.30386695024
"GR",2020,5563.25079908676,10698599,185552328472.832,27779852418.7303,16179771479.0537,-9.00404364202146,-0.860859160367283,127115091560.475,183218817603.963,120298126434.409,2170211,6593.23455206725
"GR",2021,5841.16210045662,10641221,201202601384.494,30808787247.1813,17400314468.0566,8.43442550167381,1.29219914889998,137125923196.81,196430435548.163,129161681570.714,2124201,5952.96866820393
