"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"IE",2008,3169.2664237732,4489544,219445444220.344,56892437896.3631,38532576721.6755,-4.48407049219472,-0.504525802138019,137313914235.159,177152291810.403,51896949220.0011,1744592,3163.79064057946
"IE",2009,3000.22856490467,4535375,208262981116.422,53339032250.9516,42462090198.4881,-5.09578275532317,-4.62459858665488,132649989986.224,163501969140.711,51777816160.2643,1753285,3006.95428153566
"IE",2010,3014.4745975568,4560155,211767987813.551,49425783832.8181,41279680296.0816,1.68297153835975,-2.88983583577426,141258607387.164,166118199427.292,61960870544.2356,1753744,3018.27588253809
"IE",2011,2967.79164288161,4580084,213533773140.929,51326360094.6619,43871955437.992,0.833830148555222,1.72763034579563,139067441731.51,162591226593.954,65377987439.5949,1752249,2958.06842139639
"IE",2012,2911.74518957076,4599533,213521939076.437,51124286736.3269,41957663315.4347,-0.00554201066994153,2.28416232439588,139716164937.379,163100648342.556,67908259197.4329,1750490,2926.38550845798
"IE",2013,2949.40347071584,4623816,215925533436.556,51552035650.8875,41481114645.1401,1.12568964599835,1.05031884587814,143594786007.194,173074571201.826,72888539698.3811,1750530,2912.09551222404
"IE",2014,2941.88469003311,4657740,234601689874.762,57021537382.8271,45834136111.5955,8.64935060757608,0.0542328910594136,154749847928.421,186221344774.647,77320623785.67,1754105,2963.38521171512
"IE",2015,3033.45450393881,4701957,291775166506.891,111318682065.972,101102957514.884,24.3704453546988,8.3862912504091,156994328759.66,224608767716.753,125068421366.801,1761447,3033.11717900913
"IE",2016,3065.51441029144,4755335,297630084892.439,109838634479.217,98534072906.9985,2.00665411509893,0.727822429645713,163707300816.159,242329332878.138,133855350626.324,1771980,3073.35176608727
"IE",2017,3165.31415525114,4807388,324432693194.991,116586630875.738,103444447440.808,9.00534242438529,1.09492204323713,179029667053.747,255213116391.467,146694382910.347,1781281,3189.78793451816
"IE",2018,3297.27300228311,4867316,352098825394.701,129392814212.141,115372193160.363,8.52754139148431,1.07570034758939,197609057459.033,267996640991.462,162079096873.17,1792632,3262.89626493151
"IE",2019,3317.36130136986,4934340,371256301839.016,131539577742.713,117261683522.522,5.44093733423819,3.57183617780726,213328692740.484,284427091191.937,176046052115.712,1805722,3333.111510287
"IE",2020,3335.049543379,4985382,394216789047.752,147848997041.71,134211536848.947,6.18453803881623,-1.56527857273824,220724052922.537,290376350349.062,186368316419.718,1812037,3327.54138266951
"IE",2021,3525.37734018265,5033165,447783940484.606,169225652642.738,155000450525.224,13.5882471079549,0.657643226323756,247912327187.828,324037947370.226,216644916111.888,1816369,3553.29091736783
