"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"LT",2010,1102.04064390912,3097282,34401356974.3984,9012501161.33388,5823136210.21165,1.65124065328366,2.53348366045552,20890671818.2287,33891883078.691,20050354586.2707,1029629,1103.53196807638
"LT",2011,1183.2491151958,3028115,36478857729.3719,10242806903.8248,6703176921.57346,6.03900816040344,5.34995229795774,21334153590.2599,34867265846.4554,21243663571.3848,1007121,1182.64744324642
"LT",2012,1201.21131731755,2987773,37881055682.4922,10612756258.3206,7086634498.21625,3.8438647490634,2.73425349368634,22151541641.7563,35893462085.5847,22757262954.2898,990028,1185.63280774193
"LT",2013,1207.17330745519,2957689,39225860752.8062,10745882845.0384,6914491485.78537,3.55007284270485,1.28133222727746,23429254173.19,37415795875.4761,24106571479.2678,976451,1213.08447140037
"LT",2014,1223.27754309853,2932367,40613283322.7621,11171789811.0866,7055577890.85665,3.53700987901611,0.833592064248663,24164784733.6014,39368260075.2406,25262768984.2646,964514,1231.52661304486
"LT",2015,1239.85386459642,2904910,41435533340.3883,11070770660.2492,7131769119.84922,2.02458395469182,0.0636827914669311,24821963584.8793,39940688841.875,26134196403.3912,951939,1246.05847168219
"LT",2016,1301.53597449909,2868231,42479223269.264,11021113564.5714,7177870573.57981,2.51882827307178,1.57625277213522,25885396936.3323,41435229333.8562,26555717963.6654,936019,1294.32613312468
"LT",2017,1333.0747716895,2828403,44298437189.8902,11471675365.3111,7517826619.99275,4.28259695120761,4.24343178964807,26773145652.6516,43189020826.8867,27440416129.1133,918778,1349.42291134193
"LT",2018,1386.80764840183,2801543,46067411257.316,11802058926.4478,7637676718.91482,3.99331032795327,3.52717427534756,28296061657.2654,44648062453.9324,28731041792.377,905487,1371.38003564018
"LT",2019,1389.75319634703,2794137,48198076541.4695,12174435623.608,7751809324.11361,4.62510313907674,2.70445680358378,29640921508.1998,46803283477.3812,29967147099.8176,898175,1391.49571494651
"LT",2020,1348.12819634703,2794885,48187587206.6015,11982786052.6254,7509639123.35244,-0.0217629740036216,1.78332318697045,29563112290.15,47327676992.9289,30070591832.2799,893078,1346.99900861161
"LT",2021,1412.58139269406,2800839,51069702271.8047,12922587341.2571,8234178758.95555,5.98103211278502,6.50805313836133,31018032546.4315,47571873013.5652,32700935460.5841,889294,1415.46570019246
