"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"LU",2006,759.344674049549,472637,49917169128.3586,6749090348.6248,3535078870.97294,6.01671504402741,6.45467522017813,37913146461.0798,35823320899.6652,15096757187.1769,61400,766.583664874599
"LU",2007,772.277657266811,479993,53959794734.6914,7811202858.23954,4298422923.59503,8.0986676066054,1.89248054012752,40242223993.3217,40876452013.8281,16417714600.5751,60436,796.828773781644
"LU",2008,761.558351360583,488650,53797820276.3277,6888890178.93861,3595952635.36267,-0.30017619444267,6.60996540521124,41349734731.5775,38921593485.2457,18113336164.0312,59615,718.858583272436
"LU",2009,708.138486128553,497783,52055333610.1398,5729524909.8101,2421839980.25948,-3.23895402683188,0.870687903518032,40960408253.3571,30840384228.0406,17476471011.6253,58848,731.24888099396
"LU",2010,763.414545039388,506953,54012829450.8633,5940316212.33461,2682412354.45335,3.76041359255095,4.64841846238745,42619865980.3703,35101044650.5617,17926807572.5156,58061,758.11954460396
"LU",2011,760.894736842105,518347,54576884723.7121,5844332015.58009,2657642116.4729,1.04429869455731,3.44946167967612,43026940049.0031,36448048775.425,17810626472.9142,57505,753.661402350928
"LU",2012,720.322327223045,530946,55477349852.5629,5784467261.47853,2527886216.74249,1.64990202978652,3.26597731840673,43757734390.7446,41394206204.2383,18049238533.8286,57082,725.844101916252
"LU",2013,678.902728621989,543360,57236975164.3722,5977224105.6017,2606794493.09838,3.17179049916005,2.27602449452651,45193054702.5866,40209963182.3781,18727153002.9703,56651,679.109826552014
"LU",2014,713.565932184039,556319,58738350255.7597,6350132932.31486,2777217583.71398,2.62308601577192,2.79670220085781,45939190088.6134,42454987069.6812,19542912564.7382,56277,689.947217542624
"LU",2015,721.745290558283,569604,60071584216.1375,6932034609.27893,3291701734.39336,2.26978448419565,2.21918065733098,47895839682.4988,38657980989.0234,20608676447.9353,55941,745.482383231322
"LU",2016,739.561563069217,582014,63062062076.8293,7627944501.37539,3654418964.27924,4.97819043681629,-1.1076169264046,49889241462.2323,41001183452.9922,21707615028.634,55524,700.762450709792
"LU",2017,491.695861872146,596336,63892707778.4988,6912128355.91986,3051457372.16983,1.31718766293677,2.14290399690169,51165922704.6258,44855795442.9312,21968335947.7103,55298,459.651307133443
"LU",2018,463.151826484018,607950,64671765568.8058,7101381737.52799,3208749293.7343,1.21932191856359,2.11133910459871,51513777258.5547,45537979443.732,22905851414.6733,54831,527.44862336247
"LU",2019,588.488242009132,620001,66172102156.1277,7743953489.36459,3303785017.46725,2.31992520093738,1.39420466338207,52259871612.2549,43495864383.3793,22601149505.9654,54417,589.515462383361
"LU",2020,562.48698630137,630419,65644422263.398,7439494274.9217,3299960087.73346,-0.797435589222587,4.69451621916707,52368658272.4294,45466877419.6492,22574734127.8767,53882,643.983042809564
"LU",2021,586.868978310502,640064,68993899662.5449,7732214295.54438,3346065890.12494,5.10245544656804,6.18129245488691,54729022528.9262,50257302509.6215,24992129553.0873,53305,548.097552716084
