"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"LV",2010,801.426190204361,2097555,22993883546.7441,4701284440.31484,2731060604.62908,-4.455567259981,-0.360646954976275,14828361035.7868,23179714751.282,13115647370.6718,674553,795.946730823051
"LV",2011,770.443315446969,2059709,23585679970.3973,4887720650.30056,2771808828.50108,2.57371236333377,6.52344087085697,15125184387.5647,23926124015.2695,13378622698.7473,661805,786.716614975272
"LV",2012,815.286917909598,2034319,25246641848.4078,5206202292.68901,2866947490.83975,7.04224716054507,3.63399957602259,16264324362.1829,25003558669.2008,14701837164.3849,653077,807.372315709526
"LV",2013,837.904783651102,2012647,25753586054.7246,5176666634.65815,2856182268.14267,2.00796687876637,1.71841948890339,16687132277.1397,25723061136.0777,15289880015.3042,645557,816.247367332264
"LV",2014,819.315446968832,1993782,26243463733.7578,4970123364.72894,2756001112.69101,1.90217268380506,1.915588014642,17208415261.1808,26179429306.7883,15858049981.8418,638967,826.414540661082
"LV",2015,807.039388057997,1977527,27263090547.0617,5208223264.06602,2853886838.23983,3.88526005426763,0.115712474014657,17819375050.8855,27135736219.4242,16481074058.031,633204,827.98926078197
"LV",2016,820.50660291439,1959537,27908848130.1504,5168604046.81496,2837346825.15844,2.36861474664423,0.863392494557075,18305627538.8101,28383676376.3351,16653531580.9358,626640,811.629000202217
"LV",2017,824.471232876712,1942248,28833322008.4414,5491773903.90198,3018901027.25404,3.31247593587459,2.94787720841359,18673599642.3351,29371342561.3117,17628908671.3484,620063,824.685909151542
"LV",2018,838.426141552511,1927174,29984306271.8922,5594952708.07117,3165487534.17009,3.99185450470748,3.89123648306256,19355997548.9212,30472717174.884,18657368855.3778,613959,837.54017331981
"LV",2019,824.928082191781,1913822,30754814155.864,5798506918.42434,3260089125.74471,2.56970388771063,2.59484434943941,19709502697.1119,31477023834.1941,18567734102.6683,608174,817.069513437473
"LV",2020,803.616095890411,1900449,30077290109.2039,5867443701.31112,3305917586.20551,-2.20298533825142,0.970729603669369,19075718992.0744,31749949581.6203,18472066128.4624,602157,811.752771270461
"LV",2021,834.7,1884490,31300856486.9336,6222971325.1403,3745974521.57509,4.06807386332741,6.88144180390806,19930875547.4007,32715048274.4015,19824950978.8948,595103,834.376065449289
