"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"NL",2006,12600.1439662062,16346101,712564183491.074,151109012378.387,85001181283.9926,3.46098895411502,2.56110638417375,469621469807.229,715297670428.475,299194147595.026,2674876,12589.9518785614
"NL",2007,12504.854892111,16381696,739448107993.38,156430947677.731,88769122966.4679,3.77284252073882,2.07220572994835,489965431739.632,737548046087.441,311447711637.602,2532774,12724.8078937672
"NL",2008,13014.2199703974,16445593,755496534043.895,162506966179.312,86567189595.1892,2.17032485133603,2.30632549844012,500311382321.137,725807637798.158,328518406653.445,2400728,12720.869850789
"NL",2009,12105.7015641055,16530388,727793352989.741,147803869331.745,76443449314.7332,-3.66688393735825,0.220701610642962,494540080509.627,707136564038.503,321174771213.439,2266647,12036.0920391331
"NL",2010,12618.5814590707,16615394,737565720627.788,145257937989.646,77217501127.1665,1.34273933636553,0.940413731811219,504293124422.495,731961564360.164,327003730018.682,2137737,12643.7435494919
"NL",2011,12652.8868592305,16693074,749006761258.435,150296805852.996,80916026439.6375,1.55118931244651,0.193652086824386,512708101203.416,742381790998.714,334186758329.548,2023367,12637.0293449474
"NL",2012,12267.6424911761,16754962,741289340197.321,148392737502.217,79578659347.9774,-1.03035399148436,1.44610956661077,509470530811.209,729863466607.889,333915820632.182,1912076,12639.338227831
"NL",2013,13008.8047722343,16804432,740324364660.471,143135527266.961,76165205703.1421,-0.130175288449919,1.27998705426134,511346753136.817,732259557332.328,335397054621.717,1817063,12774.0685166007
"NL",2014,12706.7919853865,16865008,750862107575.857,138251384242.294,77794216035.6673,1.42339539510084,0.253185732004795,524930387286.005,737945997294.947,341563058736.368,1738782,12822.7020567886
"NL",2015,12928.4751683982,16939923,765572770634.375,139227225080.078,82695324276.9532,1.95916972105708,0.772727976651382,536396225998.438,757772895013.281,348414716127.801,1664686,12939.5127245088
"NL",2016,13038.5457650273,17030314,782351934079.297,137987390437.502,84893397291.4067,2.19171371926123,0.454667288773308,549349589628.232,763941595848.939,357059591274.177,1594889,12900.6558470175
"NL",2017,12994.853196347,17131296,805125436190.089,142532461564.704,88985848952.2344,2.91090251315005,1.26070715808579,564124231310.468,796282934662.981,365927632042.183,1528626,13019.4380259698
"NL",2018,13096.003510274,17231624,824133764145.055,146742995130.263,91125809179.3506,2.36091509478513,2.43709074520527,577161003718.039,820168086586.226,376601704020.962,1466411,13064.5068789898
"NL",2019,13002.4043378995,17344874,840250428566.882,147567137457.483,90532151014.7723,1.95558841574046,3.03273379248688,587896785639.857,823845038934.067,383557589582.786,1409098,13027.193103468
"NL",2020,12311.1316495434,17441500,807597591789.77,144211320939.849,87434228372.544,-3.88608391819609,1.92857201636885,562362811032.537,781759723807.335,374103277099.921,1354158,12322.6781907969
"NL",2021,12144.6447203196,17533044,846872832523.287,152938416292.475,91696198368.502,4.86321914933848,2.52482146698544,588080751259.165,822548280209.968,399699765103.203,1302355,13121.6990638274
