"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"NO",2010,14952.3280054801,4889252,354111728841.583,123118465180.313,25468238931.0046,0.701833823862358,5.96821152270515,186707280687.593,368623824615.067,138162824248.657,1021756,14803.8430766513
"NO",2011,14058.6697111542,4953088,357587103441.149,132402146222.706,24146719679.2602,0.981434478585356,6.71670605253362,182622139922.831,385210347008.37,157281751577.292,1017612,14398.6228724755
"NO",2012,14603.1389047023,5018573,367253074299.886,135300973152.725,24291795300.1982,2.70310947059309,3.3429205789641,189558423171.766,398424236230.237,162740270987.196,1010038,14495.0408163714
"NO",2013,14628.7165201507,5079623,371050738865.351,132240522064.939,24555098364.9152,1.03407291353631,2.55519558349381,195042471051.893,402979756040.095,159416089087.062,1001397,14362.8258151802
"NO",2014,14373.1034364653,5137232,378358747545.727,128761986403.984,25755577561.748,1.9695443007939,0.290603973053521,204114406793.993,409907231910.716,168968058737.015,991897,14493.067854038
"NO",2015,14686.7981504738,5188607,385801550067.169,119638524336.055,26519293169.3706,1.96712843821408,-2.85486501270054,217781337191.278,401834328820.915,175758954121.205,981114,14796.554735757
"NO",2016,15064.7750204918,5234519,389935641211.119,108954115963.108,25587894982.7911,1.07155897720727,-1.47425382556115,227706501624.205,393480776521.649,169736047989.597,969171,14977.1598009875
"NO",2017,15169.9243150685,5276968,398994977782.37,118865653058.781,25537198336.619,2.32329020838249,3.95110454864106,226770689303.267,406516048775.447,163672833655.467,956662,15336.1546362854
"NO",2018,15467.0681506849,5311916,403459047225.38,128270778203.144,24192784490.2551,1.11882847945122,6.65160826591449,223129348402.38,425203851276.222,162158477006.706,942971,15313.2705439894
"NO",2019,15255.2517123288,5347896,406468037614.963,117769495529.841,25124023689.4874,0.745798219243483,-0.472598023910763,235731874611.735,412602472832.489,161350800879.051,929678,15338.2570961868
"NO",2020,15115.4335616438,5379475,403552919293.169,105060224409.189,26268576423.3357,-0.717182669244792,-3.60460515845841,243426590735.383,388447817298.749,162593208016.078,915909,15060.4102407216
"NO",2021,15858.8078767123,5408320,419214549963.832,148974695047.69,23033874368.4921,3.88093603636767,16.9113499819995,220095123472.482,450130251276.222,175861079517.77,901946,15838.8937478906
