"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"PL",2006,15685.8272633862,38141267,346511473670.248,99666953081.5623,56491008676.5643,6.13113645855509,1.72842504648365,194697254347.139,337714600758.561,195197056308.799,14745032,15543.5301366947
"PL",2007,16141.4275602238,38120560,370980501392.758,106349005838.805,60549545602.5919,7.06153463356746,3.71708701568933,206138808196.67,358476894747.756,209713534695.199,14779722,16212.2738904062
"PL",2008,16214.6592280542,38125759,386561612946.014,110808208948.97,62225014115.4671,4.19998126444942,3.89433845992298,216412332059.618,378635453327.87,223353496348.799,14824820,16269.7540089175
"PL",2009,15641.7557940404,38151603,397509749303.621,117298006306.783,64911695699.7717,2.83218405318897,3.7855516158772,225369145037.485,385260535451.492,233949109015.781,14877599,15624.5312970652
"PL",2010,16321.8737298778,38042794,409175222178.008,121423402150.139,66873000711.0151,2.93463818052832,1.5633507717248,226159077495.03,395731692108.873,243273854529.344,14877776,16266.9850660394
"PL",2011,16550.7844502797,38063255,429806605650.617,130933187517.825,70243971720.089,5.04218788292943,3.116063878264,232610640821.14,414915928172.052,252855341719.418,14928409,16632.5385311759
"PL",2012,16590.041785267,38063164,436448070035.814,132210771389.02,73059916157.1452,1.54522157125609,2.22424772645388,240833836531.51,420271470314.689,257132606405.979,14976333,16523.7435267206
"PL",2013,16720.9132321041,38040196,440186496882.876,126486859145.18,69308622635.2652,0.85655708060645,0.219665134655173,249190297249.394,424506631781.696,265300999509.384,15014846,16827.4812669252
"PL",2014,16825.4890969289,38011735,457076270062.343,137103636290.558,78206704733.2276,3.83695849351797,0.465461479388424,253943595212.667,439857103948.886,279247808757.813,15051507,17082.9115654992
"PL",2015,17119.0167827378,37986412,477111287969.227,148453906353.628,85255338904.3638,4.38329863507276,1.31704293664644,262839368616.528,459254808330.017,293989534696.466,15088963,16853.8315318137
"PL",2016,17761.0350219323,37970087,491202812044.038,151133515943.164,90798324471.5192,2.95350884167718,0.0872763880105083,269505069567.052,472105264107.207,301980585416.445,15120448,17958.7425651114
"PL",2017,19219.5906392694,37974826,516450722907.547,149060090259.995,88266509041.3764,5.14001757409446,1.76210628965667,288730115282.986,494488746414.185,320884574400.125,15150057,19002.2169009792
"PL",2018,19531.8827625571,37974750,547154795065.659,157347020515.024,91669075393.1767,5.94520847705498,1.22964095424449,308649753691.622,524120260532.731,337433226452.056,15167875,19308.8165150959
"PL",2019,19282.8551369863,37965475,571503117124.287,163658736972.564,96726834896.6911,4.44998787878788,3.03253664890715,325093885767.902,547513758178.861,354050966882.7,15172143,19499.7956812005
"PL",2020,18816.6198630137,37899070,559958349913.782,158738847392.925,92237936667.1628,-2.02007073357655,4.25503894138546,320096310520.332,538305896553.044,338267735124.816,15143331,18751.2127893871
"PL",2021,19935.3864155251,37747124,598302692664.81,166716564151.231,100041202491.785,6.84771336241919,5.05250600239987,340434366199.812,569914298201.472,371632324066.86,15070539,19825.8264296987
