"AICC","p","q","res_ratio"
40006.5145485136,1,1,1.0115052923613
39968.868904157,1,2,1.01119962890181
39880.7369125833,1,3,1.00515006968039
39879.7567674519,1,4,1.00523915706086
39881.7666178654,1,5,1.00525501363289
39883.4748542213,1,6,1.0053274576233
39882.4176084044,1,7,1.00508015855966
39693.3405292805,1,8,1.00819652739762
39655.2213757835,1,9,1.01052186062611
39648.0451513909,1,10,1.01386780235079
39649.1217316824,1,11,1.01386836708066
39649.5882237204,1,12,1.0151793665713
39643.7327185226,1,13,1.01419882961225
39647.2103197926,1,14,1.01708358994726
39642.3972944792,1,15,1.01887481075741
39644.4163680055,1,16,1.01879476404029
39626.0384777862,1,17,1.01840209464427
39579.457928074,1,18,1.02090920803446
39548.0623877272,1,19,1.02136674368309
39519.0033752781,1,20,1.0267839414274
39500.1127836209,1,21,1.03277850048809
39502.0392778785,1,22,1.03236554516885
39502.8925386454,1,23,1.03418201722301
39504.183896341,1,24,1.03445679858526
39494.9078618972,1,25,1.0348094879129
39496.9205843342,1,26,1.03470074958279
39496.743401061,1,27,1.03229952506382
39455.8741525103,1,28,1.09665668829687
39433.9634956748,1,29,1.10615368739712
39436.0024021783,1,30,1.10631012514571
39783.7896032625,2,1,1.10167772940589
39715.0625138707,2,2,1.01669045529932
39879.4718797165,2,3,1.00573238667901
39881.8201949732,2,4,1.00509733553093
39883.7803430779,2,5,1.00524682977708
39840.6865417991,2,6,1.01950404648826
39799.1885559024,2,7,1.0077465910168
39659.0718824532,2,8,1.00897912527102
39650.6533542351,2,9,1.01253718604869
39649.6276167488,2,10,1.01380270027182
39651.9056478192,2,11,1.01395983121615
39649.2246091803,2,12,1.01537353813558
39645.4943233614,2,13,1.01401631907898
39570.8667006201,2,14,1.01960748036656
39644.4208955408,2,15,1.01885595742212
39646.0220282031,2,16,1.01859119803451
39552.2663018036,2,17,1.05743852398632
39528.6231349068,2,18,1.01608664848875
39522.7989060402,2,19,1.01616135388783
39502.385494899,2,20,1.03658287897081
39501.9470600182,2,21,1.03214842264107
39502.7214218881,2,22,1.03249732777325
39504.1341852366,2,23,1.03377539883632
39506.1963300717,2,24,1.03365154729386
39483.428111408,2,25,1.05313815970413
39498.975413803,2,26,1.03460482935131
39474.4326957716,2,27,1.03661506855488
39476.4495559569,2,28,1.03663728548858
39435.9916830802,2,29,1.10645964672412
39431.811790477,2,30,1.10345587504811
39700.5712229943,3,1,1.01584573400033
39693.9908344019,3,2,1.01713605495363
39717.2940444001,3,3,1.01659649371846
