"AICC","p","q","res_ratio"
40567.2037936834,1,1,1.04064649441538
40539.2818557311,1,2,1.03678647453482
40493.4092476701,1,3,1.01917531130287
40492.0355650718,1,4,1.01663894739003
40489.7803065598,1,5,1.01784460081089
40492.3916653886,1,6,1.01631004177532
40305.8390940193,1,7,1.02269919267544
40299.8886775689,1,8,1.0252940916153
40298.0689920144,1,9,1.02930686425958
40289.901371343,1,10,1.04033051138657
40291.1096805029,1,11,1.0448876494409
40292.7989030173,1,12,1.04789714094944
40289.9165435873,1,13,1.03846059824345
40274.2527428718,1,14,1.04137180231296
40270.2997763211,1,15,1.02855401599812
40269.7631584469,1,16,1.03194995659252
40259.2570098578,1,17,1.03246967444618
40220.2069930753,1,18,1.0302565391386
40187.2499166337,1,19,1.02322976994425
40160.1859855946,1,20,1.01799841333272
40149.0293274199,1,21,1.02303294323589
40136.4229465364,1,22,1.04235703165766
40137.1027307941,1,23,1.04477181343269
40125.8603181749,1,24,1.00097824453709
40124.5939626631,1,25,0.996858617525149
40096.2368779422,1,26,1.00986029110519
40128.5395961059,1,27,0.998097983840566
40083.7541538289,1,28,0.975936942622532
40075.4892401089,1,29,0.961159204010973
40076.2873530952,1,30,0.95883913916246
40340.0114799016,2,1,1.08089267966374
40315.8565211558,2,2,1.07110656124293
40297.2861689993,2,3,1.06710100896256
40281.3931610175,2,4,1.0432577711359
40302.4872972445,2,5,1.07333606241286
40296.6292684037,2,6,1.06863795175158
40286.4634378,2,7,1.04698075504326
40286.9838123805,2,8,1.04939096547928
40303.867611727,2,9,1.02547473782757
40286.9725934181,2,10,1.05684662541625
40293.4283368527,2,11,1.04245004962355
40295.0369867226,2,12,1.04634967216556
40257.9936156357,2,13,0.936377876015881
40197.3367064231,2,14,1.05293533817509
40196.2011349495,2,15,1.05787087352552
40268.7481655186,2,16,1.03012206553916
40198.7913617827,2,17,1.05902000946799
40167.3276623913,2,18,1.05281352400185
40150.6844265401,2,19,1.03803528105787
40152.9550913033,2,20,1.01654501112839
40150.9745941742,2,21,1.0384868503473
40130.5372280195,2,22,1.0451150845469
40149.7272827542,2,23,1.03390729042383
40124.7988784274,2,24,0.987811504396595
40126.3849191887,2,25,0.998535351610963
40128.4857575007,2,26,0.999241887611039
40100.1019616018,2,27,1.01024275717946
40063.5345143561,2,28,0.968215826140118
40065.1212904929,2,29,0.96463308288731
40076.8833709695,2,30,0.960320844122054
40294.700479679,3,1,1.06658090382196
40321.3403513085,3,2,1.07676369666084
40316.3763901681,3,3,1.07184893723654
40282.3964639062,3,4,1.04663153619258
40284.7875638222,3,5,1.04386018127815
