"AICC","p","q","res_ratio"
42570.8370825801,1,1,1.16542689017953
42458.1427432166,1,2,1.16418351696871
42439.1156728522,1,3,1.16671750383368
42389.0278970111,1,4,1.18261243112636
42383.0733353129,1,5,1.18620052009252
42384.7743729359,1,6,1.18675833815083
42203.579183177,1,7,1.2137656862353
42190.5660646677,1,8,1.24066761196926
42175.3973936873,1,9,1.28210568911551
42154.7412843526,1,10,1.31845672164324
42141.2315651813,1,11,1.32997036071106
42108.0799641387,1,12,1.34013441046889
42084.1900331463,1,13,1.32675004525162
42082.7530577393,1,14,1.3130869718927
42082.9679017095,1,15,1.31682795518916
42082.4389954109,1,16,1.31171308694246
42080.5407880741,1,17,1.30107034623983
42065.0520487324,1,18,1.25629086286353
42065.1947459381,1,19,1.23992391839911
42058.7402381619,1,20,1.257052121593
42017.1954611455,1,21,1.25534406611095
41795.296839256,1,22,1.38600364212919
41708.2715394446,1,23,1.68694513060952
41641.9424516505,1,24,1.4727051174446
41611.8569730318,1,25,1.55404227380691
41589.923521704,1,26,1.58711702156674
41590.6055141038,1,27,1.59127863533143
41613.4257580577,1,28,1.53689514282226
41607.5731036593,1,29,1.5500381900638
41494.2004604817,1,30,1.58683986991955
42253.2274977582,2,1,1.61748312272497
42177.3886805223,2,2,1.49895522097189
42166.6947409872,2,3,1.43372307908546
42167.3967710024,2,4,1.45604491712532
42141.1754191516,2,5,1.33069382872187
42386.7607613834,2,6,1.1860803224151
42388.0122956536,2,7,1.18982004565435
42142.8754634506,2,8,1.33743850381738
42143.0915972355,2,9,1.34327173083097
42140.4814006341,2,10,1.35137207687206
42130.0204831867,2,11,1.35813104743914
42097.5500472452,2,12,1.32851484053423
42085.4814279504,2,13,1.31947610457104
42088.2088268124,2,14,1.32783956484318
42006.7994440043,2,15,1.32687113680569
41994.5058550768,2,16,1.43270434723161
41956.4329980861,2,17,1.48116524897993
41984.6037331731,2,18,1.46234901282085
41954.5073724542,2,19,1.35240859665108
41942.9207796918,2,20,1.46066347971632
41873.8783054125,2,21,1.37720186558202
41767.3472680838,2,22,1.39887219473001
41707.8330796087,2,23,1.6732120934106
41583.4123627817,2,24,1.59722728559272
41478.4529734034,2,25,1.85485629799066
41467.559227601,2,26,1.86197860857122
41465.3037467317,2,27,1.83452220601043
41549.2269427175,2,28,1.5087802694828
41546.3445378102,2,29,1.54142261728144
41461.2327007432,2,30,1.85413536423957
42168.6893347972,3,1,1.44926090464512
42249.5946247162,3,2,1.61551213409918
42176.4736129146,3,3,1.49596352025128
42166.424462241,3,4,1.45560733182332
42165.4380757653,3,5,1.45427545729932
42144.2671434574,3,6,1.33010660211104
42116.8827597685,3,7,1.62831627893195
42147.42361211,3,8,1.32055294384489
42143.057095322,3,9,1.34082610009572
42147.1258732519,3,10,1.34326848923064
42134.592667608,3,11,1.35777563123371
41997.8650782125,3,12,1.40694469182142
42083.6053492535,3,13,1.33899518649121
42021.1435034877,3,14,1.3059107842356
42008.8257854016,3,15,1.32719200683326
41970.2395630422,3,16,1.34582139193785
41965.8027944202,3,17,1.31973965456516
41971.1861648062,3,18,1.31055151913715
41955.9455252874,3,19,1.42905882823402
41937.0839816823,3,20,1.41129270274771
41861.7373497555,3,21,1.33214266768114
41724.1552676643,3,22,1.47559364196106
41699.2827444855,3,23,1.63091817835809
41557.4223463259,3,24,1.59879417425068
41465.577547126,3,25,1.84988482662129
41549.6138452339,3,26,1.60229700905944
41464.3617050031,3,27,1.84762873532644
41466.1749466258,3,28,1.85452126780936
41551.1696912502,3,29,1.52496216818124
41461.1439347644,3,30,1.90216225528829
42169.6914444777,4,1,1.433178489607
42164.7351784669,4,2,1.43981961376816
42188.4803226332,4,3,1.6115101185459
42150.9269984348,4,4,1.50588265904449
42124.8807863652,4,5,1.46632375214089
42151.4029215808,4,6,1.44064803128494
42105.1419047217,4,7,1.34384451211374
42136.2144850216,4,8,1.33276956619122
42108.7036350826,4,9,1.34694957938456
42123.7094450434,4,10,1.34797081663135
42100.6498789859,4,11,1.3634446699608
41994.7630299283,4,12,1.40817954139783
41995.6499685167,4,13,1.41454689664072
41984.766443409,4,14,1.44131629012903
