"AICC","p","q","res_ratio"
42164.4137096177,1,1,0.994970846577556
41836.4610425088,2,1,1.01674186238753
41828.965277764,3,1,0.99611160709188
41746.6386116309,4,1,0.993310391362219
41869.3249157253,5,1,1.0233760632754
41870.8104631844,6,1,1.02419395991734
41872.9176025091,7,1,1.02420739153031
41765.1285960991,8,1,0.995117366406239
41739.4962544518,9,1,1.00682391433875
41741.5072761174,10,1,1.00688993221452
41743.183156591,11,1,1.00691062496231
41738.1508564299,12,1,1.00565949691628
41738.2911490307,13,1,1.00482166859115
41735.2574574624,14,1,1.00303491901772
41737.5614426114,15,1,1.00219098515628
41709.3103933743,16,1,1.02574369750398
41707.1810267851,17,1,1.02886230206153
41709.2025657678,18,1,1.02849432616364
41702.7502641335,19,1,1.02951891108838
41685.2141698764,20,1,1.02285011443069
41683.7386156291,21,1,1.02232430329528
41685.4433354898,22,1,1.02243477937243
41684.7522894831,23,1,1.02291645265015
41665.7840432251,24,1,1.02756904950122
41666.8230012726,25,1,1.02570711815131
41575.4315971677,26,1,1.02803541053806
41659.5470986768,27,1,1.03853239098676
41661.4923555146,28,1,1.03752154462333
41571.2805633566,29,1,1.02258688175766
NA,NA,NA,1
42062.3286631892,1,2,0.993873348114049
41831.7860840409,2,2,1.00314901739562
41833.9380645607,3,2,1.01543745483444
41738.5912738143,4,2,1.00169019200504
41750.5510665176,5,2,0.993111192648464
41872.6521123195,6,2,1.02350367537947
41725.2399399827,7,2,1.0007043854247
41857.075068993,8,2,1.02153238910176
41741.5001975927,9,2,1.00673667696688
41737.3147101781,10,2,1.00783279460905
41738.6588437466,11,2,1.00651388325101
41738.8071462421,12,2,1.00678405729589
41737.1913986791,13,2,1.00571728640063
41698.7852243755,14,2,1.0096512144328
41734.732418753,15,2,1.00276912729431
41693.7584103884,16,2,1.02307971192016
41702.6594529405,17,2,1.02668027704251
41684.4042544216,18,2,1.02317908144967
41671.1057871627,19,2,1.03769170023221
41667.6588637124,20,2,1.03145053040265
41666.3167397733,21,2,1.0288534418626
41662.267546124,22,2,1.02891360854991
41671.8302720796,23,2,1.02408620075447
41662.2061769187,24,2,1.02535271224378
41664.1882641442,25,2,1.02509149137749
41652.4304010124,26,2,1.03331129319231
41653.2675883491,27,2,1.03185476071983
NA,NA,NA,1
41573.2954890775,29,2,1.02219557316621
41575.3718425236,30,2,1.02259867450557
42022.6556703209,1,3,0.994178442029471
41781.5801874856,2,3,0.979130622100647
41822.6566843866,3,3,0.995225060620046
