"AICC","p","q","res_ratio"
36035.1399073753,1,1,1.05621658878823
36034.3139443659,1,2,1.05493559604815
36015.0221603082,1,3,1.04630149843701
35991.8570230821,1,4,1.03800505344968
35976.5505232659,1,5,1.03313932053407
35978.4614360922,1,6,1.0335438456204
35979.3251339394,1,7,1.03477543032038
35972.9558212961,1,8,1.03601922212713
35770.1375226669,1,9,1.04323720369135
35758.9963208393,1,10,1.04688972661365
35758.9842194945,1,11,1.04934032699305
35756.3220822957,1,12,1.05225788445027
35748.6865881813,1,13,1.0496913429001
35744.0356808571,1,14,1.04801635362023
35733.9650664712,1,15,1.05139368011549
35720.258108767,1,16,1.05473220032137
35722.1299020784,1,17,1.05501201627993
35724.0610097721,1,18,1.05513367760635
35725.9853158657,1,19,1.05539865955275
35726.7352036472,1,20,1.05349766258065
35722.205108802,1,21,1.05581373943951
35707.6845309533,1,22,1.05690965048338
35604.3448242044,1,23,1.05894013622027
35555.2024278398,1,24,1.1303109908272
35537.0081843433,1,25,1.13221147734645
35539.0448444508,1,26,1.13185210503247
35540.7482290439,1,27,1.1342373009439
35539.0110642715,1,28,1.13900933586543
35529.0048884954,1,29,1.14248906497939
35489.3815484458,1,30,1.05565277517328
35775.6925385532,2,1,1.08168554595868
35765.8884839588,2,2,1.07842245327701
35759.6179216774,2,3,1.01505294243715
35761.0736351126,2,4,1.00765052097833
35978.3825951652,2,5,1.03373244430123
35980.4309857173,2,6,1.03363534037305
35749.8559397681,2,7,1.07501865379798
35945.3158456998,2,8,1.02566232360765
35735.0918013614,2,9,1.06838111757314
35736.9637624823,2,10,1.06907939320287
35738.8176285408,2,11,1.0692233795039
35713.2212451935,2,12,1.06082523188301
35695.4447747001,2,13,1.05973292496096
35697.1975258879,2,14,1.06012838623908
35713.8276292361,2,15,1.06031296455414
35706.428069896,2,16,1.0600283856754
35660.5567248261,2,17,1.05670494459662
35722.5246125855,2,18,1.05423081755874
35666.8610612772,2,19,1.06954549895807
35639.7285185602,2,20,1.04984176592883
35611.8659504721,2,21,1.0560266907689
35613.7268048434,2,22,1.05612887569265
35568.5281227538,2,23,1.05906655332189
35538.4311848436,2,24,1.13775354439028
35539.0425419466,2,25,1.13217882023896
35541.0742163145,2,26,1.1322055299784
35543.083789346,2,27,1.13263230266752
35533.5122347038,2,28,1.11955288601668
35524.4653354012,2,29,1.13385041241904
35491.4326946088,2,30,1.05395010686185
35767.4406194826,3,1,1.07820631449398
35760.2165619419,3,2,1.07830689381557
35761.4352610907,3,3,1.07983155791866
35714.7198386536,3,4,1.0207204361319
35956.0328091713,3,5,1.04057210376215
35948.5799009868,3,6,1.03620191879294
35915.1821150314,3,7,1.02958082942852
35909.9884624674,3,8,1.04861411729233
35736.9725528889,3,9,1.06893443023313
35738.9928094442,3,10,1.06895170270429
35740.7432707337,3,11,1.06774238266356
35696.6962498227,3,12,1.04739115435619
35760.3344853917,3,13,1.0520395450499
35699.685399117,3,14,1.08162366857619
35683.5892553143,3,15,1.06359307197814
35715.7772368454,3,16,1.05997046120851
35702.4926925796,3,17,1.05993112812835
35727.9441744915,3,18,1.05520905244506
35710.840822646,3,19,1.06895565835674
35665.4557865154,3,20,1.06826263353329
35613.8615574232,3,21,1.05606038134597
35608.7704503415,3,22,1.05734610017549
35569.6653546319,3,23,1.05963750865724
35540.4735306364,3,24,1.13850309825613
35540.4745021934,3,25,1.13504816329831
35530.1891559022,3,26,1.1236194774007
35525.8468999834,3,27,1.13070807338994
35538.6573117609,3,28,1.05737541031556
35541.2944862831,3,29,1.13377941672675
35466.4181497314,3,30,1.0354529805239
35759.1572226546,4,1,1.02163087675723
35761.1704743947,4,2,1.02143156581512
35764.217281595,4,3,1.07822004589211
35761.413298508,4,4,0.979245509089904
35759.787803702,4,5,1.01046749664106
35731.2557533168,4,6,1.09551834137113
35748.6782184168,4,7,1.07503975011599
35750.6621232167,4,8,1.07427591223411
35747.1428185599,4,9,1.07645396578064
35735.5436205913,4,10,1.07712759510174
35731.4014259213,4,11,1.07046664329007
35718.8014562452,4,12,1.04894748424706
35708.2192918593,4,13,1.07211244483783
35672.5434433732,4,14,1.06090410722024
35698.9628318046,4,15,1.06484843089684
35687.5640671439,4,16,1.06357043114569
35651.0156455401,4,17,1.05256069565315
35653.5472003715,4,18,1.05622775966429
35655.7141124657,4,19,1.05638153206762
35650.8157888832,4,20,1.04853602251748
35578.2572975751,4,21,1.0647510320873
35641.979474627,4,22,1.05127421357107
35583.3124288751,4,23,1.02362974070816
35514.2312045288,4,24,1.09012178481729
35458.8492470402,4,25,1.03460378298252
35512.5019747423,4,26,1.13808795224579
35492.0883002213,4,27,1.01254975814262
35455.9538043532,4,28,1.0187989390855
35527.3935123042,4,29,1.13618735061418
35453.5907155538,4,30,1.03981746328519
35761.1380147189,5,1,1.0199647259851
35763.1421892085,5,2,1.02061664921446
35765.0720625763,5,3,1.0806527699746
35694.2056227374,5,4,1.07395243189959
35694.8377862668,5,5,1.07274457996755
35696.3001082085,5,6,1.09023576332822
35697.4003333138,5,7,0.991689204793823
35687.0178059979,5,8,1.0686713036734
35689.2274320808,5,9,1.06707809773155
35659.4480564346,5,10,1.01092646515986
35706.4271459634,5,11,1.06992313001264
35676.0918260094,5,12,1.06340645535762
35704.08439545,5,13,1.0719616945964
35651.1110734796,5,14,1.05444269298905
35670.5968755986,5,15,1.06406103659567
35624.0386683972,5,16,1.06089704324446
35632.9196402328,5,17,1.06036047238908
35626.6834242874,5,18,1.06088453661245
35625.1240780319,5,19,1.05638485183946
35647.4097641994,5,20,1.04793327115135
35596.1272677787,5,21,1.04922661850126
35589.7812387619,5,22,1.04839594208055
35579.1680438737,5,23,1.03335976443611
35511.9403193027,5,24,1.0691848461155
35511.153211841,5,25,1.0687687908619
35572.6733557205,5,26,1.05659456757754
35510.1618365765,5,27,1.09535664675196
35474.7296718737,5,28,1.03372475002396
35437.1676695316,5,29,1.02886806665657
35466.4889784892,5,30,1.02988375730713
35744.6473772452,6,1,1.0620572581855
35717.5898156424,6,2,1.02468309389595
35759.3088526501,6,3,1.01669744634207
35694.7562628098,6,4,1.07283883450755
35673.1930505584,6,5,1.0390134756002
35662.2981165551,6,6,1.07917412742485
35664.1258782532,6,7,1.08202061246314
35658.1807570684,6,8,1.07375154740215
35666.014426828,6,9,0.994529726562312
35660.5382474259,6,10,1.08355346687162
35654.4126764242,6,11,1.07809527531336
35652.3360977546,6,12,1.07317072410334
35645.3057466586,6,13,1.0709735111074
35644.2577267866,6,14,1.04611796052027
35633.2000110678,6,15,1.06367104047173
35587.9809666588,6,16,1.06037632705848
