"AICC","p","q","res_ratio"
41307.6592363185,1,1,1.01362531415625
41248.8633355029,1,2,1.00562747749186
41172.8080061151,1,3,1.00034345736682
41174.8082461571,1,4,1.00048858627366
41172.3010505631,1,5,1.00092158796103
41168.3610518635,1,6,1.00190406820094
41170.1308319181,1,7,1.0011044673846
41171.9307472044,1,8,1.0015134791809
40963.791283588,1,9,1.04308884172918
40952.0813882897,1,10,1.04605557421592
40953.8542121615,1,11,1.04598798080439
40952.2701792726,1,12,1.04785932134926
40932.5431482032,1,13,1.04357146022238
40918.3421447274,1,14,1.03869028791954
40914.5548124198,1,15,1.03555049445995
40919.5011297384,1,16,1.04760308818157
40922.0918544991,1,17,1.04687709429459
40884.4874281443,1,18,1.04578184400387
40837.4874089557,1,19,1.05589209010834
40805.2463808379,1,20,1.09422450424489
40766.285639993,1,21,1.11018459184771
40766.4765902363,1,22,1.11272970383512
40774.210134103,1,23,1.10265386329136
40769.2667932897,1,24,1.11307877149132
40769.1700224027,1,25,1.11508517969833
40770.1074330289,1,26,1.11485899013874
40745.3510003652,1,27,1.10422692281948
40738.589192975,1,28,1.0355050209419
40741.692620185,1,29,1.03428579226009
40662.0807136612,1,30,1.14861158899054
41078.5647096187,2,1,1.06313048073698
41009.7146310611,2,2,1.04690770089265
41188.4306973891,2,3,1.01243519332139
40970.8997347278,2,4,1.04788513703168
40952.8242967263,2,5,1.0569728716804
40954.6101328144,2,6,1.0575588699255
40956.5956515606,2,7,1.05778647250894
40955.3980294927,2,8,1.06109557122503
40874.7218325815,2,9,1.05401387920104
40953.9981937352,2,10,1.04606530628137
40956.0539379319,2,11,1.04608699566332
40949.6480127628,2,12,1.04805243075374
40838.8332036769,2,13,1.10433716384938
40840.7763065188,2,14,1.10385516912177
40915.56863838,2,15,1.0367764169736
40917.2200342905,2,16,1.03780617167355
40819.9782524575,2,17,1.13953935992301
40799.0940825834,2,18,1.04119813919452
40795.4317449441,2,19,1.12836733770874
40772.3998160071,2,20,1.12030753977792
40774.8905360127,2,21,1.06858745873001
40776.7651566938,2,22,1.06846886533465
40776.7992287033,2,23,1.06617167873133
40717.8046821055,2,24,1.18365659064411
40739.7258243537,2,25,1.09866001576003
40726.5893319832,2,26,1.07988161017617
40702.6474599095,2,27,1.07055699424885
40670.6032025974,2,28,1.13913512181601
40664.9298692908,2,29,1.14733872212703
40663.7855912491,2,30,1.14876937369542
40996.6822169779,3,1,1.06748836919584
40994.7594488914,3,2,1.06350800096531
40991.6551960461,3,3,1.05921090294099
40959.5353869275,3,4,1.05204257417502
40912.3587980749,3,5,1.07762099076061
40914.1733601127,3,6,1.07748305792893
40916.1838702702,3,7,1.07744819717811
40841.8257082138,3,8,1.08006964070788
40867.2614898852,3,9,1.02855069007162
40828.9995258986,3,10,1.0624376263696
40829.6199036032,3,11,1.06626801759447
40857.1419706193,3,12,1.03335934933446
40846.747788972,3,13,1.03297739887617
40841.3143627627,3,14,1.05016559566744
40841.4784269802,3,15,1.05372485243749
40780.9411587228,3,16,1.08957851161142
40821.8573286118,3,17,1.13937367648565
40823.4954108674,3,18,1.13954359228725
40799.1607068075,3,19,1.08477393719209
40779.8326104018,3,20,1.06431204441117
40686.3549766635,3,21,1.12538270099746
40678.3916445026,3,22,1.12488596766245
40773.0060023912,3,23,1.05801304065796
40719.0751841802,3,24,1.18112835651441
40731.127090603,3,25,1.15479898739063
40728.6167318424,3,26,1.07955320950456
40725.4150067774,3,27,1.07631775394388
40666.5889066629,3,28,1.15036428162883
40661.5040742058,3,29,1.14984240880003
40644.6537242129,3,30,1.14853353288175
41162.4441167882,4,1,1.02136019594122
41155.0848060527,4,2,1.01150129710138
41155.9106291328,4,3,1.01814512814504
40956.1483856849,4,4,1.05663104690744
40956.8571661558,4,5,1.05745418783519
40916.3029099256,4,6,1.07743828899162
40871.6114904501,4,7,1.05892597898108
40949.4089669112,4,8,1.05905043324666
40840.7801780253,4,9,1.0812032965075
40862.879086767,4,10,1.03252468183294
40865.5058213131,4,11,1.03258800547621
40732.4138754738,4,12,1.05634347027091
40768.3674445576,4,13,1.05298727277654
40814.3361683918,4,14,1.04122795540471
40737.4792704295,4,15,1.10553961184806
40723.0593277352,4,16,1.03115100811003
40721.5866667006,4,17,1.09964481012826
40723.2228305203,4,18,1.10442382758039
40720.3159460533,4,19,1.12789842583552
40733.1518061521,4,20,1.11598060513106
40759.4320989356,4,21,1.1306634785461
40667.5662111019,4,22,1.11415720161788
40728.701893242,4,23,1.13596014953075
40710.6052726954,4,24,1.14631184377407
40723.2761807043,4,25,1.17638673546694
40681.9919090794,4,26,1.1020650454643
40680.8837731417,4,27,1.09649886151088
40620.1464001129,4,28,1.11449583673831
40608.8484543725,4,29,1.12204309057234
40613.7993139205,4,30,1.14726496544617
41161.7369919518,5,1,1.01578962683078
41156.7026970943,5,2,1.01292950253319
41158.851801224,5,3,1.01373520445908
40958.1382990265,5,4,1.05650673232117
40956.3104071593,5,5,1.05660649746416
40955.9647441311,5,6,1.05807720030717
40963.0119678379,5,7,1.05643384018127
40953.5882310674,5,8,1.05652521938845
40868.3503293396,5,9,1.05860832466843
40821.1465987712,5,10,1.02685174757864
40844.4051416906,5,11,1.07266786242615
40846.3471453275,5,12,1.07259220432721
40854.5132272289,5,13,1.06125538308949
40813.0220653224,5,14,1.04156188152586
40770.2991155968,5,15,1.11420897986433
40771.0665782148,5,16,1.11175638999435
40726.5508564105,5,17,1.03245931799351
40727.4438483367,5,18,1.03733684685461
40724.4522144028,5,19,1.1088984328852
40734.0394850833,5,20,1.11567034440713
40734.1760815332,5,21,1.11473883811953
40756.7371382102,5,22,1.12907446558027
40678.6887348563,5,23,1.12670735482122
40715.0063364042,5,24,1.10421995754027
40724.4577467511,5,25,1.1033781138412
40732.1958481753,5,26,1.07367700134467
40716.8009624374,5,27,1.10715858253197
40683.8225494632,5,28,1.09655803389486
40626.1212970504,5,29,1.11679646366227
40640.5445514467,5,30,1.13707004307436
40923.5876104448,6,1,1.03923109589893
40925.5773661569,6,2,1.04012923177385
40886.4469598537,6,3,1.06030202102057
40885.0678807586,6,4,1.05944505416394
40873.9494956042,6,5,1.04279581865702
40861.4541814054,6,6,1.03855124400116
40860.3888550902,6,7,1.06070181463579
40777.9174287085,6,8,1.0536033865686
40865.7215650612,6,9,1.06039719953739
40822.959862957,6,10,1.08302720750365
40851.6821398136,6,11,1.0638190013318
40851.6711865954,6,12,1.06710334764998
40730.0334266927,6,13,1.05516041716984
40714.3137072339,6,14,1.0550737754641
40738.1858101077,6,15,1.08975515040794
40724.179124457,6,16,1.03168913814445
40727.4471209851,6,17,1.03365940277261
40724.1546580811,6,18,1.11964320850137
40729.0120627524,6,19,1.10229356480891
40741.5011335024,6,20,1.07381835113302
40738.0411239443,6,21,1.11607709152782
40725.7566852316,6,22,1.11687373720384
40775.979072128,6,23,1.05363673763256
40699.9608098558,6,24,1.12206750073959
40708.1627808337,6,25,1.11403292607541
40697.469396879,6,26,1.11574827592952
40671.1664077257,6,27,1.15961753788895
40664.1503530187,6,28,1.18124847472354
40602.5951838726,6,29,1.10395079837739
40612.3144583161,6,30,1.10293142399611
40925.5947631458,7,1,1.03946223568529
40927.6101926485,7,2,1.03915308225055
40929.5640770451,7,3,1.0403064502409
40884.2164927067,7,4,1.0603587745268
40863.6852446545,7,5,1.04064223056804
40881.3298019281,7,6,1.07837693884272
40858.7600005964,7,7,1.06168073438439
40851.5465267599,7,8,1.04994372105301
40855.7590864446,7,9,1.04966853903822
40866.858216203,7,10,1.06291717464261
40822.4377110334,7,11,1.04956454222763
40754.5545408055,7,12,1.04563822593134
40728.773757241,7,13,1.05470197179119
40715.4639852883,7,14,1.05430525792122
40716.321447218,7,15,1.05287383382742
40721.5563717449,7,16,1.04219853188007
40719.6433563379,7,17,1.11095695936883
40707.7403109806,7,18,1.1056107130764
40738.9227362437,7,19,1.11345803607601
40733.3467087104,7,20,1.0738511202216
40737.2025073143,7,21,1.07400618917819
40732.1095940748,7,22,1.07418639822362
40654.3507401102,7,23,1.11620746881613
40658.6164456273,7,24,1.1133077777539
40720.261421052,7,25,1.07235466718277
40642.633645454,7,26,1.12400512169739
40670.3989806652,7,27,1.09493895385581
40674.4399273408,7,28,1.08769451142587
40616.0573469462,7,29,1.10891202625385
40636.8543672557,7,30,1.13554678858544
40918.1895515063,8,1,1.04942207388844
40876.1751871505,8,2,1.06373621094868
40830.4252926202,8,3,1.17963654823821
40883.6872097616,8,4,1.06028917404838
40886.0843368826,8,5,1.0546847344162
40863.1617649151,8,6,1.04061850147897
40759.7610711891,8,7,1.149206263036
40830.1287939304,8,8,1.08137013937788
40818.1263946044,8,9,1.08239528222111
40861.7114746471,8,10,1.06542052517104
40815.4874359641,8,11,1.05461761243002
40822.1667384527,8,12,1.05561127940762
40723.6309463378,8,13,1.05750498239214
40753.3662915949,8,14,1.10485104833122
