"AICC","p","q","res_ratio"
43807.6534811879,1,1,1.02256966581708
43748.911424938,1,2,1.01839663711145
43740.5712918221,1,3,1.01694184510886
43738.6631380002,1,4,1.01778345631405
43733.8201355618,1,5,1.01829917057974
43596.2881134429,1,6,1.02051546874819
43554.4742463155,1,7,1.00868382397188
43554.0360783233,1,8,1.00674176054542
43542.8184125872,1,9,1.00491668793868
43614.2177451241,1,10,1.00519758237191
43526.8547771892,1,11,1.00193787997498
43612.3663640691,1,12,1.00931170450977
43487.0668569008,1,13,1.02362639686045
43447.9491640648,1,14,1.05120500533229
43428.9184822176,1,15,1.06540957543982
43413.5519902522,1,16,1.07909050351551
43410.0338044221,1,17,1.0884550893637
43411.9360792023,1,18,1.08747649452663
43411.5845165718,1,19,1.09890355888689
43413.6578855024,1,20,1.09932250519314
43413.7050526047,1,21,1.08627404629954
43406.3303632868,1,22,1.07412313629413
43379.9620410891,1,23,1.06097974783346
43364.5450113469,1,24,1.07316315524733
43343.0217739107,1,25,1.07664295578895
43345.2272499142,1,26,1.07629259838229
43346.8114401036,1,27,1.07817803521965
43348.1852401938,1,28,1.07818883975721
43350.0218424821,1,29,1.07759820934059
43351.9092971182,1,30,1.07689367901469
43633.297465636,2,1,1.04016708908726
43693.7911550272,2,2,0.995874317942082
43688.7478953669,2,3,0.994306678556979
43601.2198730033,2,4,1.02981200300996
43577.1387808407,2,5,1.01722069150309
43578.5050120325,2,6,1.01862699153194
43555.7145647662,2,7,1.00818686131511
43553.7572659402,2,8,1.00646079704236
43535.7017308121,2,9,1.00126474967572
43527.5888686161,2,10,1.00170743359346
43528.6703462268,2,11,1.00206816496423
43530.4635580292,2,12,1.00199341924066
43410.8227026289,2,13,1.08553480930828
43411.3365294801,2,14,1.08748261571253
43412.1316856144,2,15,1.08949706792602
43411.698054185,2,16,1.0893051928976
43410.6510790407,2,17,1.08403952316848
43412.232738724,2,18,1.08663236316875
43413.5310609347,2,19,1.09191904365514
43414.906965171,2,20,1.08978846474205
43416.8608191637,2,21,1.09084889501133
43348.5390792095,2,22,1.07805714811394
43352.9822445115,2,23,1.06566868740346
43347.665238017,2,24,1.07421876351417
43344.7637960416,2,25,1.07693391765368
43346.7550367733,2,26,1.0773022086875
43348.7476466619,2,27,1.07802505602327
43350.3357927361,2,28,1.07870836715961
43352.2536234125,2,29,1.07822243221381
43354.0210767389,2,30,1.07720532299208
43695.8228024773,3,1,0.996594697519293
43636.618325092,3,2,1.04238312323634
43690.4260870881,3,3,0.996235257383357
43587.0878678839,3,4,1.02185458681478
43578.876321364,3,5,1.01770733324544
43580.2150702087,3,6,1.01631451087181
43454.9605865843,3,7,1.01754761902006
43456.6997901624,3,8,1.0173544443426
43465.9659043325,3,9,1.01780592141906
43458.3623856814,3,10,1.02277566222248
43531.5442796527,3,11,1.00178579976002
43507.2183997582,3,12,1.00226364092368
43411.0454157107,3,13,1.08838481240019
43414.8660067192,3,14,1.08552948477353
43414.391654467,3,15,1.08792844944749
43368.2630715059,3,16,1.04856134083867
43412.0582964239,3,17,1.08820444749669
43414.077534215,3,18,1.08822687334943
43378.8656234334,3,19,1.10899180090323
43376.9243067982,3,20,1.09656993983999
43370.8866200267,3,21,1.0639558660907
43351.2612356316,3,22,1.081824416324
43354.0012884287,3,23,1.06594647228955
43347.3564158516,3,24,1.07624055901556
43346.0496775131,3,25,1.0774985016591
43348.1454969087,3,26,1.07756052532468
43350.5048525347,3,27,1.07786680705625
43352.171024146,3,28,1.07843380591218
43353.970481118,3,29,1.07838535599214
43355.9849629152,3,30,1.07716881889555
43697.5108761709,4,1,0.996176978714015
43699.8341692269,4,2,0.996541231560405
43701.1814686341,4,4,0.995877582879369
43572.4549848351,4,5,1.01793467176625
43580.6699783395,4,6,1.01734163177016
43456.5881461849,4,7,1.0171952474259
43457.7046997822,4,8,1.0169425466415
43453.4449162353,4,9,1.01745172017518
43456.5254297635,4,10,1.01832396844013
43460.8440424263,4,11,1.02468967427919
43517.9581287447,4,12,1.00055824929601
43399.4763291255,4,13,1.07218501837793
43414.5559685368,4,14,1.0888201909422
43417.3439274672,4,15,1.08707846860731
43370.0112284364,4,16,1.05106808533099
43412.400301833,4,17,1.09006854708958
43414.4868288174,4,18,1.08781294751832
43378.5916924327,4,19,1.0980307139884
43376.5002411779,4,20,1.0890009821538
43379.8949207949,4,21,1.09233289453301
43353.1082379058,4,22,1.07853601449313
43348.2860163714,4,23,1.06658838735864
43348.8628686145,4,24,1.07600453493963
43348.071383731,4,25,1.07764757555483
43350.0897574178,4,26,1.07749100143707
43352.2928507025,4,27,1.07739676683635
43354.1658613182,4,28,1.07811965021663
43356.1323947728,4,29,1.07819236570268
43357.9821833858,4,30,1.07697086478483
43697.6190545558,5,1,0.994845136843412
43701.0617145945,5,2,0.996047088643294
43703.8658385736,5,3,0.996593819662436
43646.4692444152,5,4,1.0245343898124
43574.8966836453,5,5,1.01312811166636
43569.5375573246,5,6,1.01803412401328
43457.7798584554,5,7,1.01704479382186
43460.4625615365,5,8,1.01746255489363
43451.3837186356,5,9,1.01986392527918
43462.946553385,5,10,1.01677903717667
43463.1858769583,5,11,1.01719689475314
43456.8642539858,5,12,1.01625893694465
43428.8081330556,5,13,1.09332179417629
43417.1715004661,5,14,1.08927061077877
43408.4574175822,5,15,1.08804612464325
43405.669450156,5,16,1.0842089587747
43392.9193044014,5,17,1.08668070782824
43394.9166447011,5,18,1.0882764024938
43395.5411755735,5,19,1.08829150804808
43378.5319170533,5,20,1.08728818480963
43380.5106820435,5,21,1.08879600714013
43363.5036041246,5,22,1.07554946362166
43332.3173440834,5,23,1.08472888790839
43350.6535342765,5,24,1.07347102976195
43349.9113613507,5,25,1.07735113986115
43351.922593169,5,26,1.0768547109159
43353.9329297351,5,27,1.07685332273191
43356.0362069692,5,28,1.0775940737242
43358.041166228,5,29,1.07729054536801
43360.0651972788,5,30,1.07753774771287
43698.2681880763,6,1,0.993226922587464
43643.626498573,6,2,0.982571276405936
43576.9032765884,6,3,1.00634515367098
43573.6311014663,6,4,1.01286351469007
43570.3881483242,6,5,1.01604649702133
43578.088482983,6,6,1.01570119073305
43580.1082502972,6,7,1.0159744893614
43462.1832138866,6,8,1.01735659710811
43440.9169087465,6,9,1.01980727505292
43441.8417313005,6,10,1.01758174384457
43441.1317457704,6,11,1.01659191648008
43443.7071653932,6,12,1.01651217263105
43440.3594492576,6,13,1.02483801815004
43422.5175578849,6,14,1.09025562704961
43402.4950560675,6,15,1.09473182993604
43380.8487762673,6,16,1.08868453258435
43388.8353849439,6,17,1.08960942825004
43394.5420763217,6,18,1.02388301955798
43349.267256175,6,19,1.04886370131127
43340.4569533158,6,20,1.04850597672667
43316.9184317144,6,21,1.06923531982919
43325.844382373,6,22,1.08334032103644
43351.0957872388,6,23,1.06750889574836
43351.5006243801,6,24,1.07566657543261
43351.9903174661,6,25,1.07762486984439
43353.9906079779,6,26,1.07650827491436
43355.8853003363,6,27,1.0777625887723
43358.0409860093,6,28,1.0778622559369
43360.0606342512,6,29,1.07702466242111
43362.0880318746,6,30,1.07770427754751
43686.5002574973,7,1,0.992983071650794
43573.1362292957,7,2,1.01405201087248
43640.9666916731,7,3,0.985741411825245
43647.7116853171,7,4,0.981559314469882
43576.0770099753,7,5,1.01406209819754
43578.0401722888,7,6,1.01296075407596
43574.8009237143,7,7,1.00434011327662
43452.0772912916,7,8,1.01960863291206
43446.0090991773,7,9,1.02093870646798
43460.5742623772,7,10,1.01772281601979
43400.1303919139,7,11,1.00947659300429
43436.4309021707,7,12,1.02289043121922
43442.6275283402,7,13,1.02071794082257
43420.151370912,7,14,1.08290499254813
43418.081932931,7,15,1.08418154060986
43377.5094515767,7,16,1.09032937228829
43343.7696508856,7,17,1.06754977307884
43342.197440342,7,18,1.0771246899166
43330.9441547595,7,19,1.08174288662081
43353.7159293895,7,20,1.07656150085258
43366.2836649527,7,21,1.08865964023544
43326.1714009244,7,22,1.08188165522882
43326.8871477672,7,23,1.09370939528386
43333.5364978553,7,24,1.09067417160584
43353.3338651193,7,25,1.07650269918473
43336.7930756634,7,26,1.08664874075411
43352.0728337262,7,27,1.06940974872727
43301.7030271272,7,28,1.06423383571747
43302.0038406847,7,29,1.06706140190543
43364.0910484214,7,30,1.07736626200545
43671.8021867143,8,1,0.99093877607969
43575.0742095951,8,2,1.01363981649112
43569.7734000837,8,3,1.01549726643721
43577.9811254758,8,4,1.01424056510398
43570.4326646577,8,5,1.00604524942516
43581.0967750555,8,6,1.01295191027174
43444.2308357589,8,7,1.02361769968674
43453.8892961333,8,8,1.01586055102606
43439.9767603988,8,9,1.0160858188106
43457.6491898081,8,10,1.01718728614876
43472.0661796581,8,11,1.01738085956411
43417.0605833352,8,12,1.00821732624999
43400.0095333384,8,13,1.087514804831
43392.5971425809,8,14,1.08792953961845
43387.4602996324,8,15,1.08847991357318
43356.9116567092,8,16,1.08700107604176
43350.0749768897,8,17,1.07664885852744
43340.6892169807,8,18,1.07426687712883
43340.005153682,8,19,1.07503997487973
43330.9762051201,8,20,1.07727190792516
43336.7872759063,8,21,1.07257103328739
43311.5269748145,8,22,1.08498319495584
43338.9626797933,8,23,1.07629640011818
43330.3622158246,8,24,1.08959614619604
43326.3029635219,8,25,1.08480359268463
43314.5641273594,8,26,1.0900508918266
43329.196411688,8,27,1.10545551980894
43309.8606159507,8,28,1.07260283894189
43312.6727088438,8,29,1.07406547171094
43332.7599468559,8,30,1.09288921158782
43671.5529684198,9,1,0.990743743459447
43576.2975723226,9,2,1.01510502611319
43577.3393941945,9,3,1.01334021725307
43581.1819792071,9,4,1.01422068246535
43552.2063171014,9,5,1.01044388147628
43548.2115192874,9,6,0.992646510047697
43467.5146001893,9,7,1.0137003308958
43427.8172863109,9,8,1.03957717661549
43465.4679147599,9,9,1.02173641334271
43463.9692738425,9,10,1.01731940417462
43450.9747606577,9,11,1.02468544773756
43443.2139273423,9,12,1.02218003368319
43385.066121455,9,13,1.08357937345011
43402.2411394001,9,14,1.07255112614299
43415.9843837942,9,15,1.0881403226548
43374.8453094987,9,16,1.0858575770848
43340.3902640012,9,17,1.07703501318804
43323.5726216374,9,18,1.08222975257778
43330.8617922763,9,19,1.07889782897473
43333.17849313,9,20,1.08166375173283
43327.7667707619,9,21,1.08011960989449
43316.0211240514,9,22,1.08265687473329
43329.5525401593,9,23,1.08045019452996
43331.1125291496,9,24,1.08397814548616
43321.8851836428,9,25,1.09870416754782
43328.0402637944,9,26,1.07697736045058
43320.9937386326,9,27,1.11124049269123
43321.3817402625,9,28,1.11631349102323
43334.6428942868,9,29,1.08819674665564
43343.3369807195,9,30,1.01724505714716
43497.3791860596,10,1,1.00928755045659
43498.133317668,10,2,1.01001950411857
43631.9087597314,10,3,0.99312931984594
43614.5501235991,10,4,1.00149706376634
43570.6667777604,10,5,1.01329385749568
43448.3860104758,10,6,1.04365993254415
43541.8761549972,10,7,1.01141352018672
43463.7265758136,10,8,1.01797631220628
43461.764536789,10,9,1.02265877625604
43416.7062285089,10,10,1.03285740336348
43403.7954843375,10,11,1.02190251043468
43435.8243304866,10,12,1.03659167593949
43381.2969858056,10,13,1.08240438488689
43409.763037127,10,14,1.08003352263955
43393.4197909552,10,15,1.08743843755288
43319.3280364556,10,17,1.07677073736343
43340.5406854049,10,18,1.06972495055521
43331.8689571765,10,19,1.07649119411787
43342.0619289944,10,20,1.07923258329514
43336.8559050823,10,21,1.07466032844062
43314.4759053338,10,22,1.08561356741663
43311.7455572206,10,23,1.07803511147696
