"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"PT",2006,5604.71320927047,10522288,205197590054.868,43394474234.7533,25327944974.3752,1.62503417629674,3.18454265930981,129165546299.461,194457590706.11,130358333962.473,4404945,5612.01764203128
"PT",2007,5705.70944171709,10542964,210341031080.276,44494180484.6955,25753384380.1023,2.50657964551773,2.96634549274198,133694747084.871,199803491205.748,134736840416.804,4349078,5708.42624294157
"PT",2008,5751.19799612889,10558177,211012540457.556,43017606835.0787,25113979753.2709,0.319247925063081,1.73772428812507,136818671852.976,197539515728.76,135170482974.443,4290949,5776.18440065643
"PT",2009,5683.80694143167,10568247,204424561357.608,40592974503.6824,22758924452.595,-3.12207942033321,1.09813586372714,136688261998.086,195338191116.167,131383100190.52,4231103,5778.84012887104
"PT",2010,5951.80591391711,10573100,207976694614.767,41491545790.472,24127929286.4603,1.73762547590566,0.642290869101615,137398886047.288,197764679165.271,134309569197.361,4169291,5795.03284085125
"PT",2011,5759.44354378354,10557560,204449067168.824,39550606702.3355,23190781131.3612,-1.69616478061504,-0.265123394841666,135643867952.311,195802126164.792,133775482937.146,4099817,5754.94446388898
"PT",2012,5582.27439371513,10514844,196153968235.59,37491846082.578,22349961313.5603,-4.05729360769561,-0.388196360131744,130317615834.503,186794278369.646,128588064379.948,4020561,5633.33645996853
"PT",2013,5605.67313620276,10457295,194344164093.789,36668652480.1108,22438217581.0389,-0.922644674527888,2.24865489225866,130018617955.426,188308261965.523,128530074950.888,3936962,5598.95273722607
"PT",2014,5562.85238040872,10401062,195883739714.001,37094073132.2996,23097536115.8354,0.792190301875365,0.704596369328669,129913537375.073,189382778600.552,128149511178.886,3855050,5572.07403882635
"PT",2015,5585.91163374814,10358076,199394066525.44,38810823046.7843,24203865048.6409,1.79204604555983,2.01996442826523,130660987824.685,194045468799.965,132512050198.321,3779248,5565.46562011644
"PT",2016,5604.70901639344,10325452,203420800578.641,39317093068.2071,24722513373.5311,2.01948539561312,1.71666254687131,133180953702.545,199739577715.684,134027316266.661,3708283,5598.80651621165
"PT",2017,5665.27705479452,10300300,210553436228.057,40252060094.0964,25987574635.4761,3.5063452848124,1.51191039440322,137622677991.082,206275193354.758,138808452363.04,3640950,5672.3058620419
"PT",2018,5810.93150684932,10283822,216552789892.193,41793189842.8193,26554466910.6871,2.84932593436179,1.8129967517081,141095444140.297,211466565337.042,140232713492.466,3577639,5730.89618849702
"PT",2019,5747.53196347032,10286263,222362381347.62,41876893029.3489,26450662833.7957,2.68275992118076,1.74945223999291,145928460456.811,217545567603.057,147215102520.232,3521605,5824.5549897026
"PT",2020,5556.60376712329,10297081,203905156212.017,39558528066.6687,24505580497.2819,-8.30051604221151,2.003474566791,133728126031.21,203045050724.076,132234516143.116,3469087,5595.91820875337
"PT",2021,5647.26392694064,10325147,215084035589.303,42284345029.127,26728486947.5908,5.482391708458,1.39879177784729,139265276833.255,213458362878.292,138913760597.819,3422889,5715.33102953045
