"country","year","avg_hourly_demand","population","gdp","industrial","manuf","growth","gdp_defl","service","GNI","household_con","rural","longterm_model_predictions"
"SI",2006,1521.94953761845,2006868,40699587892.4722,12259497383.2232,8331571891.62118,5.746396900645,2.22109087893656,22636379230.3318,40283581581.6969,20806322861.6825,968153,1521.13587663171
"SI",2007,1531.81538988469,2018122,43540484553.7887,13346764570.5352,8871407667.94141,6.98016075450694,4.17748452362763,23909458417.195,42919079669.1363,21814774356.8744,969042,1524.67543874223
"SI",2008,1435.52134805875,2021316,45068686557.3586,13425176903.9699,8653900804.98966,3.50984151699558,4.46561784391565,25209093562.4883,43920601451.091,23636230194.6077,966007,1432.63938124992
"SI",2009,1277.39502226282,2039669,41666704789.2015,11405768242.4337,7136210159.3112,-7.54843779134178,3.39968089051037,24298471377.6036,41818718040.8332,21667337697.9751,970209,1287.50101908688
"SI",2010,1378.40164402329,2048583,42226600498.2234,11192620212.8655,7380797192.52227,1.34374847220215,-1.02931788544865,24810853719.7008,41486362344.9336,22186102802.7622,969840,1401.26052812057
"SI",2011,1438.01312935267,2052843,42590309918.8992,11417962904.999,7756307520.42905,0.861327732719303,1.04001500712062,24751525972.5917,41457438453.3879,22998346984.1092,967238,1445.75864017461
"SI",2012,1449.4210406467,2057159,41466164772.2726,11359485569.6091,7766783263.30098,-2.63943875676689,0.479044260876066,23827329742.5454,39982509711.2613,22396572087.962,964643,1435.41135145561
"SI",2013,1458.46580659893,2059953,41039360682.0457,11281291171.8649,7863083863.87032,-1.02928277204056,1.60035593502236,23381515789.4342,39855285196.632,22565176825.457,961339,1462.9628982236
"SI",2014,1509.98161890627,2061980,42175395368.8082,11866826287.7387,8276165111.47318,2.76815883065036,0.456031615681681,23739886829.185,41430997651.6914,23658691691.9499,957645,1492.09066168546
"SI",2015,1557.83879438292,2063531,43107506024.3254,12081640088.3074,8595370844.8754,2.21008160650594,1.00504348534045,24285023697.5645,41777964522.8476,24781034253.1034,953743,1519.60238205972
"SI",2016,1571.07274590164,2065042,44483434040.7344,12440085305.0024,8971039507.33447,3.19185251782498,0.874115426326341,25208030557.0938,43541190203.9871,25146763678.6989,949506,1555.22638128567
"SI",2017,1504.20034246575,2066388,46625480708.1199,13214834722.3139,9592310258.00216,4.81538063231366,1.4640640238877,26437484199.9514,45811596417.689,26185177314.0686,944897,1597.90339691316
"SI",2018,1641.46073059361,2073894,48702350150.2586,13784295867.1772,9890592000.02314,4.45436574721896,2.1125914748453,27545163275.7812,47996005396.7516,26778626396.831,942771,1591.45669093237
"SI",2019,1614.44680365297,2088385,50383106847.7508,14560922282.372,10391387488.9315,3.45107924423903,2.26200658622137,28428322520.4486,49745575193.2332,25725107680.052,943491,1622.35930778795
"SI",2020,1527.20570776256,2102419,48205866431.4746,14091568061.8075,9901431763.171,-4.3213699045107,1.25942542670587,27515652967.3482,48143547311.434,24502254794.2952,943608,1537.01736369864
"SI",2021,1603.99235159817,2108079,52164080297.0887,14857242532.7695,10446884596.0319,8.21106259181281,2.60708736010702,30102847576.304,50885202482.7355,26657450794.5406,939634,1608.74989852562
