"month","wday","hour","modelfit"
1,"Sun",1,-1969.87310606061
1,"Sun",2,-2367.96401515148
1,"Sun",3,-2535.28219696976
1,"Sun",4,-2536.69128787877
1,"Sun",5,-2405.55492424241
1,"Sun",6,-1954.87310606058
1,"Sun",7,-1683.6458333334
1,"Sun",8,-1020.91856060611
1,"Sun",9,-10.0094696968961
1,"Sun",10,691.217803030348
1,"Sun",11,984.12689393945
1,"Sun",12,1086.21780303037
1,"Sun",13,1229.26325757573
1,"Sun",14,934.12689393945
1,"Sun",15,751.490530303015
1,"Sun",16,1667.7178030303
1,"Sun",17,2321.85416666665
1,"Sun",18,2467.44507575764
1,"Sun",19,2524.53598484848
1,"Sun",20,2052.39962121204
1,"Sun",21,1207.53598484849
1,"Sun",22,474.854166666651
1,"Sun",23,-536.509469696964
1,"Sun",24,-1371.46401515151
1,"Mon",1,-5362.77840909092
1,"Mon",2,-5594.09659090906
1,"Mon",3,-5571.4147727274
1,"Mon",4,-5214.59659090908
1,"Mon",5,-4208.77840909091
1,"Mon",6,-1348.55113636364
1,"Mon",7,649.085227272625
1,"Mon",8,1618.26704545449
1,"Mon",9,2222.94886363662
1,"Mon",10,2303.76704545459
1,"Mon",11,2516.72159090921
1,"Mon",12,2561.90340909107
1,"Mon",13,2636.81249999995
1,"Mon",14,2237.40340909105
1,"Mon",15,2066.94886363633
1,"Mon",16,2799.35795454544
1,"Mon",17,3189.13068181816
1,"Mon",18,2865.26704545467
1,"Mon",19,2737.40340909091
1,"Mon",20,2126.99431818168
1,"Mon",21,675.903409090908
1,"Mon",22,-757.051136363659
1,"Mon",23,-2063.41477272726
1,"Mon",24,-3087.23295454545
1,"Tue",1,-4369.77898550728
1,"Tue",2,-4670.82246376797
1,"Tue",3,-4665.56159420273
1,"Tue",4,-4364.1702898551
1,"Tue",5,-3570.5615942028
1,"Tue",6,-1033.12681159439
1,"Tue",7,801.612318840526
1,"Tue",8,1628.74275362321
1,"Tue",9,2041.39492753597
1,"Tue",10,2044.52536231878
1,"Tue",11,2257.78623188411
1,"Tue",12,2311.0471014493
1,"Tue",13,2416.69927536259
1,"Tue",14,2035.22101449279
1,"Tue",15,1871.17753623199
1,"Tue",16,2580.91666666664
1,"Tue",17,2902.74275362307
1,"Tue",18,2559.48188405795
1,"Tue",19,2416.39492753616
1,"Tue",20,1765.69927536229
1,"Tue",21,295.047101449307
1,"Tue",22,-1195.30072463764
1,"Tue",23,-2491.86594202899
1,"Tue",24,-3567.30072463767
1,"Wed",1,-4155.70108695655
1,"Wed",2,-4496.09239130422
1,"Wed",3,-4487.13586956507
1,"Wed",4,-4223.74456521737
1,"Wed",5,-3503.91847826079
1,"Wed",6,-1089.52717391324
1,"Wed",7,693.777173912998
1,"Wed",8,1508.47282608698
1,"Wed",9,1950.03804347801
1,"Wed",10,1962.03804347821
1,"Wed",11,2213.03804347831
1,"Wed",12,2234.64673913046
1,"Wed",13,2360.99456521766
1,"Wed",14,2016.12500000004
1,"Wed",15,1842.95108695663
1,"Wed",16,2546.12499999997
1,"Wed",17,2852.60326086945
1,"Wed",18,2531.90760869565
1,"Wed",19,2367.16847826081
1,"Wed",20,1722.47282608692
1,"Wed",21,283.603260869593
1,"Wed",22,-1185.13586956518
1,"Wed",23,-2449.83152173913
1,"Wed",24,-3494.875
1,"Thu",1,-4454.85795454547
1,"Thu",2,-4767.99431818176
1,"Thu",3,-4744.58522727281
1,"Thu",4,-4468.94886363631
1,"Thu",5,-3671.76704545455
1,"Thu",6,-1059.63068181816
1,"Thu",7,876.187499999875
1,"Thu",8,1737.7329545454
1,"Thu",9,2162.460227273
1,"Thu",10,2128.82386363641
1,"Thu",11,2321.23295454558
1,"Thu",12,2289.9602272729
1,"Thu",13,2400.86931818176
1,"Thu",14,2044.68750000015
1,"Thu",15,1882.1420454545
1,"Thu",16,2610.8693181818
1,"Thu",17,2928.82386363634
1,"Thu",18,2576.50568181831
1,"Thu",19,2441.59659090909
1,"Thu",20,1759.68749999986
1,"Thu",21,291.142045454543
1,"Thu",22,-1198.2215909091
1,"Thu",23,-2518.76704545454
1,"Thu",24,-3567.94886363636
1,"Fri",1,-3937.32386363638
1,"Fri",2,-4273.18749999992
1,"Fri",3,-4282.278409091
1,"Fri",4,-4027.82386363628
1,"Fri",5,-3299.5965909091
1,"Fri",6,-991.505681818175
1,"Fri",7,713.903409090812
1,"Fri",8,1493.2670454545
1,"Fri",9,1950.17613636391
1,"Fri",10,2006.58522727277
1,"Fri",11,2206.94886363648
1,"Fri",12,2210.17613636381
1,"Fri",13,2271.58522727268
1,"Fri",14,1893.72159090924
1,"Fri",15,1755.7670454545
1,"Fri",16,2485.90340909088
1,"Fri",17,2795.31249999999
1,"Fri",18,2402.85795454557
1,"Fri",19,2173.08522727273
1,"Fri",20,1490.40340909078
1,"Fri",21,124.494318181818
1,"Fri",22,-1241.14204545456
1,"Fri",23,-2425.86931818181
1,"Fri",24,-3495.46022727272
1,"Sat",1,-2162.54960317458
1,"Sat",2,-2576.74007936512
1,"Sat",3,-2678.40674603165
1,"Sat",4,-2632.59722222228
1,"Sat",5,-2467.1686507936
1,"Sat",6,-1528.3115079364
1,"Sat",7,-747.835317460461
1,"Sat",8,260.11706349202
1,"Sat",9,1334.06944444452
1,"Sat",10,1848.73611111112
1,"Sat",11,2094.16468253965
1,"Sat",12,1969.92658730173
1,"Sat",13,1863.64087301587
1,"Sat",14,1302.30753968251
1,"Sat",15,1129.16468253959
1,"Sat",16,1904.21230158739
1,"Sat",17,2184.97420634913
1,"Sat",18,1992.87896825392
1,"Sat",19,1724.92658730161
1,"Sat",20,1132.73611111105
1,"Sat",21,50.5456349206304
1,"Sat",22,-928.835317460333
1,"Sat",23,-2017.07341269841
1,"Sat",24,-3052.88293650793
2,"Sun",1,-1778.72916666667
2,"Sun",2,-2156.97916666666
2,"Sun",3,-2277.92916666665
2,"Sun",4,-2260.12916666666
2,"Sun",5,-2121.37916666662
2,"Sun",6,-1884.02916666663
2,"Sun",7,-1553.6791666667
2,"Sun",8,-633.829166666684
2,"Sun",9,224.470833333292
2,"Sun",10,772.820833333274
2,"Sun",11,980.570833333377
2,"Sun",12,1032.42083333338
2,"Sun",13,1123.2708333334
2,"Sun",14,779.320833333304
2,"Sun",15,448.520833333365
2,"Sun",16,653.420833333358
2,"Sun",17,1846.17083333334
2,"Sun",18,2441.47083333338
2,"Sun",19,2540.82083333332
2,"Sun",20,2074.47083333339
2,"Sun",21,1192.62083333331
2,"Sun",22,424.57083333332
2,"Sun",23,-546.429166666657
2,"Sun",24,-1321.82916666667
2,"Mon",1,-5520.04166666667
2,"Mon",2,-5697.79166666667
2,"Mon",3,-5634.1916666666
2,"Mon",4,-5195.44166666664
2,"Mon",5,-4073.54166666656
2,"Mon",6,-1192.14166666664
2,"Mon",7,889.358333333312
2,"Mon",8,2147.15833333336
2,"Mon",9,2572.75833333317
2,"Mon",10,2480.15833333314
2,"Mon",11,2630.80833333345
2,"Mon",12,2583.05833333345
2,"Mon",13,2615.05833333349
2,"Mon",14,2151.70833333328
2,"Mon",15,1837.10833333341
2,"Mon",16,1915.80833333338
2,"Mon",17,2834.55833333337
2,"Mon",18,3024.90833333341
2,"Mon",19,2887.8583333333
2,"Mon",20,2199.6083333334
2,"Mon",21,675.158333333294
2,"Mon",22,-841.091666666672
2,"Mon",23,-2150.89166666666
2,"Mon",24,-3139.94166666667
2,"Tue",1,-4151.96250000001
2,"Tue",2,-4453.46250000002
2,"Tue",3,-4401.01249999995
2,"Tue",4,-4083.36249999996
2,"Tue",5,-3229.31249999992
2,"Tue",6,-890.762499999985
2,"Tue",7,905.387499999965
2,"Tue",8,1948.98750000003
2,"Tue",9,2245.43749999983
2,"Tue",10,2079.18749999981
2,"Tue",11,2225.03750000011
2,"Tue",12,2180.98750000012
2,"Tue",13,2214.88750000016
2,"Tue",14,1815.78749999994
2,"Tue",15,1514.08750000008
2,"Tue",16,1539.68750000005
2,"Tue",17,2487.63750000003
2,"Tue",18,2676.98750000008
